instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
mixed_S6_seed20260909,Base,20260909,mixed,6,block_heterogeneous,lp-export,43,38,8,1.98172e+17,1.98172e+17,14.8128,14.8128,0,0,0.000316401,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260909,SA-Mat,20260909,mixed,6,block_heterogeneous,lp-export,43,38,8,1.98172e+17,3.10358e+08,14.8128,0.2148,3.0335e-05,0,0.000216614,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260909,Flat-GM,20260909,mixed,6,block_heterogeneous,lp-export,43,38,8,1.98172e+17,1.04712e+08,14.8128,0,1.5511e-05,0,0.000182728,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260909,Flat-L2,20260909,mixed,6,block_heterogeneous,lp-export,43,38,8,1.98172e+17,1.58183e+08,14.8128,0,1.2674e-05,0,0.00017584,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260909,Role-Hybrid,20260909,mixed,6,block_heterogeneous,lp-export,43,38,8,1.98172e+17,3.10358e+08,14.8128,0.2148,2.3766e-05,0,0.000183652,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260909,SA-Mat-permB,20260909,mixed,6,block_heterogeneous,lp-export,43,38,8,1.98172e+17,3.10358e+08,14.8128,0.2148,2.8472e-05,0,0.00019215,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260910,Base,20260910,mixed,6,block_heterogeneous,lp-export,43,38,8,1.00984e+18,1.00984e+18,27.8788,27.8788,0,0,0.00017997,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260910,SA-Mat,20260910,mixed,6,block_heterogeneous,lp-export,43,38,8,1.00984e+18,9.62809e+08,27.8788,0.217071,2.3948e-05,0,0.000187026,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260910,Flat-GM,20260910,mixed,6,block_heterogeneous,lp-export,43,38,8,1.00984e+18,1.28727e+08,27.8788,0,1.2845e-05,0,0.000168745,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260910,Flat-L2,20260910,mixed,6,block_heterogeneous,lp-export,43,38,8,1.00984e+18,2.85876e+08,27.8788,0,1.2215e-05,0,0.000170524,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260910,Role-Hybrid,20260910,mixed,6,block_heterogeneous,lp-export,43,38,8,1.00984e+18,9.62809e+08,27.8788,0.217071,2.3535e-05,0,0.000185682,NA,NA,NA,NA,NA,NA
mixed_S6_seed20260910,SA-Mat-permB,20260910,mixed,6,block_heterogeneous,lp-export,43,38,8,1.00984e+18,9.62809e+08,27.8788,0.217071,2.8382e-05,0,0.000189123,NA,NA,NA,NA,NA,NA
