class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
full,instance014.txt,Base,23763,6928,16835,0.0,0.0,1.0,1.0,57555,1.154879618719341e+22,1.154879618719341e+22,1.154879618719341e+22,1.0,1.296196965402164e-10,efd5f4747bd8117426d62f5b2867a834fdfe95d7632431e25fbe065011ef41b9,41b16cf3b55ad01d11bbb85a547174aeb8bfeeb7a563a6084fcd7ff7dd3d2a64
full,instance014.txt,Flat-GM,23763,6928,16835,1.3181977126946818e-16,2.337887717201615e-16,1.5246662862078894e-05,44.052332386101206,57555,3.5277343003782524e+16,3.5277343003782524e+16,3.5277343003782524e+16,1.0,3.908909281721829e-13,954249e1b8a2c0d50ec5ef11b2ca3d0b8c57ce85d10cef2795ab1e1fc11a94df,ed246f9da460b85f15d96d6f0dfd1840b9418302af8bb31b6406c40c63632ff3
full,instance014.txt,Flat-L2,23763,6928,16835,0.0,0.0,1.043845641816744e-09,1.0,57555,1.1547611020383264e+22,1.1547611020383264e+22,1.1547611020383264e+22,1.0,1.4041482204622228e-13,896bccf447c696e3ae480f785a77d4c3dd2495d72d16b7944ba2c897680c3cd0,ea969112b22643d5584c417fda70c2b372b89be15169772d42c1ba279db4358f
full,instance014.txt,Role-Hybrid,23763,6928,16835,1.3181977126946818e-16,2.337887717201615e-16,1.5246662862078894e-05,44.052332386101206,57555,3.5277343003782524e+16,3.5277343003782524e+16,3.5277343003782524e+16,1.0,2.2747203204079133e-13,249193e02a5ef55f8cb7d6d9362b1ba6ea321c722ab4aecd6d18926318d87bcf,4ec33647e51ea4dfe9e461dae337c53d98ba94d715b29f5dd5a6803ccc615639
full,instance014.txt,SA-Mat,23763,6928,16835,1.3181977126946818e-16,2.337887717201615e-16,1.5246662862078894e-05,44.052332386101206,57555,3.5277343003782524e+16,3.5277343003782524e+16,3.5277343003782524e+16,1.0,2.2747203204079133e-13,249193e02a5ef55f8cb7d6d9362b1ba6ea321c722ab4aecd6d18926318d87bcf,4ec33647e51ea4dfe9e461dae337c53d98ba94d715b29f5dd5a6803ccc615639
