M,seed,method,presolve,solver,status,rounded_optimal,rounded_optimal_within_eta,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,exported_rows,nnz,max_exported_violation,x
1000000000000,50,All-elimination,True,highs,kOptimal,False,False,0.0,396.0,347,0.10237600799973734,0.01046073100042122,55,324,2.2737367544323206e-13,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, -0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,50,All-elimination,True,gurobi,2,False,False,0.0,399.0,347,0.10237600799973734,0.0015239280000969302,55,324,2.62456723021387e-12,"[1.0, -0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, -0.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,50,Selected-guards,False,highs,ABSTAIN,False,False,,,347,0.016941976000452996,0.0,,,,null
1000000000000,50,Selected-guards,False,gurobi,ABSTAIN,False,False,,,347,0.016941976000452996,0.0,,,,null
1000000000000,50,Selected-guards,True,highs,ABSTAIN,False,False,,,347,0.016941976000452996,0.0,,,,null
1000000000000,50,Selected-guards,True,gurobi,ABSTAIN,False,False,,,347,0.016941976000452996,0.0,,,,null
1000000000000,50,Unsafe-clauses,False,highs,kOptimal,True,True,8.499978498832661e-12,347.0,347,0.1253201290001016,0.003921530000297935,19,120,1.8319453663531629e-28,"[2.4999999999975e-12, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, -0.0, 0.0, 1.000000000001625, 0.0, -0.0, 0.9999999999944996, 1.0, 0.0, 0.0, 5.500266908594284e-12, 1.0, 0.0, 1.0, 1.0, -0.0, 0.0, 1.0, 1.0, -0.0, 0.0, 5.4999999999835e-12, 0.0, 8.499889805045748e-12, 0.0, 1.0, 8.499889805045749e-12, 0.0, 0.9999999999915]"
1000000000000,50,Unsafe-clauses,False,gurobi,2,True,True,0.0,347.0,347,0.1253201290001016,0.0012598020002769772,19,120,0.0,"[-0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 1.0, 0.0, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 1.0, 0.0, -0.0, 1.0]"
1000000000000,50,Unsafe-clauses,True,highs,kOptimal,True,True,1.1499999999954e-11,347.0,347,0.1253201290001016,0.004161073999966902,19,120,1.1499999999954e-11,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.9999999999991666, 0.0, 1.0, 0.9999999999991667, 0.0, 0.0, 1.0, 1.0, 1.1499999999954e-11, -0.0, 0.0, 0.0, -0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,50,Unsafe-clauses,True,gurobi,2,True,True,0.0,347.0,347,0.1253201290001016,0.0007122239994714619,19,120,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,50,All-clauses,False,highs,kOptimal,True,True,5.499999999978e-12,347.0,347,0.1277072880002379,0.003370021000591805,60,205,5.499999999978e-12,"[-0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, -0.0, -0.0, 0.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, -0.0, 0.0, 0.9999999999965, 3.499978085130806e-12, 1.0, 0.9999999999965, 3.499978085130806e-12, 0.0, 1.0, 1.0, -0.0, 5.499999999978e-12, -0.0, 0.0, -1.4999999999985e-12, 0.0, 1.0000000000015, 0.0, 0.0, 1.0000000000015]"
1000000000000,50,All-clauses,False,gurobi,2,True,True,0.0,347.0,347,0.1277072880002379,0.000452420000328857,60,205,0.0,"[-0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, 0.0, 1.0, 1.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 1.0, 0.0, -0.0, 1.0]"
1000000000000,50,All-clauses,True,highs,kOptimal,True,True,1.4499512701604544e-11,347.0,347,0.1277072880002379,0.004636981999283307,60,205,1.849942421472406e-11,"[-0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, -0.0, 8.749999999989063e-13, 0.0, 1.0, 0.0, 3.1666666666645555e-12, 1.0, 1.0, 0.0, -0.0, 0.0, 1.0000000000144995, 0.0, 0.9999999999960001, 1.0, -0.0, 0.0, 1.0, 1.0, 1.1500178214848537e-11, 7.000178214908538e-12, 0.0, 0.0, 4.499999999994e-12, 0.0, 1.0, -0.0, 0.0, 1.0]"
1000000000000,50,All-clauses,True,gurobi,2,True,True,0.0,347.0,347,0.1277072880002379,0.000508003999129869,60,205,0.0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,51,Base,False,highs,kOptimal,True,True,0.0,298.0,298,1.7329994079773314e-06,0.27809641899966664,13,108,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,Base,False,gurobi,2,True,True,0.0,298.0,298,1.7329994079773314e-06,0.005530245000045397,13,108,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,Base,True,highs,kOptimal,True,True,0.0,298.0,298,1.7329994079773314e-06,0.009819742999752634,13,108,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,Base,True,gurobi,2,True,True,0.0,298.0,298,1.7329994079773314e-06,0.0017883699993035407,13,108,0.0,"[1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0]"
1000000000000,51,GCD-floor,False,highs,kOptimal,True,True,0.0,298.0,298,8.30610006232746e-05,0.2773579209997479,13,108,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,GCD-floor,False,gurobi,2,True,True,0.0,298.0,298,8.30610006232746e-05,0.015700057000685774,13,108,0.0,"[1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0]"
1000000000000,51,GCD-floor,True,highs,kOptimal,True,True,0.0,298.0,298,8.30610006232746e-05,0.009842080999987957,13,108,0.0,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
