stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
replication,SG-Ter-Mer,gurobi,0.01,7,instance092,4,0.0017492177378331723,Flat-GM,False
replication,Simple,cplex,0.001,42,caso01a,4,6.924032580788945e-16,Flat-L2,False
replication,Simple,cplex,0.001,42,caso03b,4,0.0005964298486995736,Flat-GM,False
replication,Simple,cplex,0.001,42,caso05d,4,0.002005896601658125,Flat-GM,True
replication,Simple,cplex,0.001,42,caso10e,4,0.0014487095796876155,Flat-GM,True
replication,Simple,cplex,0.001,42,caso14a,4,0.0,Flat-GM,False
replication,Simple,cplex,0.001,42,caso20c,4,0.000119878310706992,Flat-L2,False
replication,Simple,cplex,0.001,42,caso22d,4,3.1584781110868287e-06,Flat-L2,False
replication,Simple,cplex,0.001,42,caso24f,4,9.1409654616136e-05,Flat-GM,False
replication,Simple,cplex,0.001,42,caso27a,4,0.0,Flat-GM,False
replication,Simple,cplex,0.001,42,caso29c,4,0.0005290530344165091,Flat-L2,False
replication,Simple,cplex,0.001,42,caso31e,4,0.0004858892310428377,Flat-GM,False
replication,Simple,cplex,0.001,42,caso33f,4,2.1626060304458828e-16,Flat-L2,False
replication,Simple,cplex,0.001,42,caso42b,4,5.195939576199344e-05,Flat-L2,False
replication,Simple,cplex,0.001,42,caso44c,4,2.0154308952794408e-16,Flat-GM,False
replication,Simple,cplex,0.001,42,caso46e,4,0.000473941880654427,Flat-L2,False
replication,Simple,cplex,0.01,42,caso01a,4,6.924032580788945e-16,Flat-L2,False
replication,Simple,cplex,0.01,42,caso03b,4,0.0005964298486995736,Flat-GM,False
replication,Simple,cplex,0.01,42,caso05d,4,9.746940430369082e-15,Flat-GM,False
replication,Simple,cplex,0.01,42,caso10e,4,0.004416016380439427,Flat-L2,False
replication,Simple,cplex,0.01,42,caso14a,4,0.0,Flat-GM,False
replication,Simple,cplex,0.01,42,caso20c,4,0.000119878310706992,Flat-L2,False
replication,Simple,cplex,0.01,42,caso22d,4,0.0,Flat-GM,False
replication,Simple,cplex,0.01,42,caso24f,4,1.4908927734550202e-15,Flat-GM,False
replication,Simple,cplex,0.01,42,caso27a,4,0.0,Flat-GM,False
replication,Simple,cplex,0.01,42,caso29c,4,8.142256279276116e-05,Flat-L2,False
replication,Simple,cplex,0.01,42,caso31e,4,0.00443195207417867,Flat-L2,False
replication,Simple,cplex,0.01,42,caso33f,4,2.1626060304458828e-16,Flat-L2,False
replication,Simple,cplex,0.01,42,caso42b,4,4.320440074392516e-05,Flat-L2,False
replication,Simple,cplex,0.01,42,caso44c,4,2.0154308952794408e-16,Flat-GM,False
replication,Simple,cplex,0.01,42,caso46e,4,0.0033429138610445654,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso01a,4,0.00034753311454760797,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso03b,4,1.320620447831114e-05,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso05d,4,0.0009502438761380326,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso10e,4,0.0007945254688290312,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso14a,4,4.7513811316982374e-08,Flat-GM,False
replication,Simple,gurobi,0.001,7,caso20c,4,2.185822542048209e-07,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso22d,4,0.00011427849978138177,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso24f,4,0.000572812094350647,Flat-GM,False
replication,Simple,gurobi,0.001,7,caso27a,4,0.00018330405437642545,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso29c,4,5.516602899126441e-05,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso31e,4,0.0006452254653054986,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso33f,4,0.00022952909422220834,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso42b,4,7.263218696810998e-07,Flat-L2,False
replication,Simple,gurobi,0.001,7,caso44c,4,0.0004942865427064763,Flat-GM,False
replication,Simple,gurobi,0.001,7,caso46e,4,0.0006077026695235036,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso01a,4,0.004848217337251941,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso03b,4,1.320620447831114e-05,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso05d,4,0.005684989192394406,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso10e,4,0.002069745318105683,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso14a,4,1.5327115700301672e-05,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso20c,4,2.185822542048209e-07,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso22d,4,0.00011427849978138177,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso24f,4,0.0009981240157337088,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso27a,4,0.00018330405437642545,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso29c,4,5.516602899126441e-05,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso31e,4,0.0006452254653054986,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso33f,4,0.00022952909422220834,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso42b,4,7.263218696810998e-07,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso44c,4,9.691202882630073e-06,Flat-L2,False
replication,Simple,gurobi,0.01,7,caso46e,4,0.009117425760309932,Flat-L2,False
