instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
mixed_S3_seed20260909,Base,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+10,6.01201e+10,2.17861,2.17861,0,0,0.000288766,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,SA-Mat,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+10,5.5812e+06,2.17861,0.214791,2.8684e-05,0,0.000205501,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Flat-GM,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+10,1.08451e+06,2.17861,0,1.5904e-05,0,0.000189329,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Flat-L2,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+10,3.61372e+06,2.17861,0,1.3068e-05,0,0.000172127,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,Role-Hybrid,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+10,5.5812e+06,2.17861,0.272982,2.3378e-05,0,0.000183052,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260909,SA-Mat-permB,20260909,mixed,3,block_heterogeneous,lp-export,43,38,8,6.01201e+10,5.5812e+06,2.17861,0.214791,2.8537e-05,0,0.000186562,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Base,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+11,1.53014e+11,2.9323,2.9323,0,0,0.000166929,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,SA-Mat,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+11,3.70501e+06,2.9323,0.293322,2.2674e-05,0,0.000190368,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Flat-GM,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+11,1.3332e+06,2.9323,0,1.284e-05,0,0.000166724,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Flat-L2,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+11,3.26599e+06,2.9323,0,1.188e-05,0,0.00016817,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,Role-Hybrid,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+11,3.70458e+06,2.9323,0.293322,2.2154e-05,0,0.000178478,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260910,SA-Mat-permB,20260910,mixed,3,block_heterogeneous,lp-export,43,38,8,1.53014e+11,3.70501e+06,2.9323,0.293322,2.6565e-05,0,0.000182915,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260911,Base,20260911,mixed,3,block_heterogeneous,lp-export,43,38,8,6.28486e+09,6.28486e+09,9.642,9.642,0,0,0.000174234,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260911,SA-Mat,20260911,mixed,3,block_heterogeneous,lp-export,43,38,8,6.28486e+09,2.10653e+06,9.642,0.206419,2.334e-05,0,0.000183016,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260911,Flat-GM,20260911,mixed,3,block_heterogeneous,lp-export,43,38,8,6.28486e+09,519758,9.642,0,1.1944e-05,0,0.00016758,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260911,Flat-L2,20260911,mixed,3,block_heterogeneous,lp-export,43,38,8,6.28486e+09,1.25152e+06,9.642,0,1.2035e-05,0,0.000171649,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260911,Role-Hybrid,20260911,mixed,3,block_heterogeneous,lp-export,43,38,8,6.28486e+09,2.10653e+06,9.642,0.206419,2.2483e-05,0,0.000178539,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260911,SA-Mat-permB,20260911,mixed,3,block_heterogeneous,lp-export,43,38,8,6.28486e+09,2.10653e+06,9.642,0.206419,2.7125e-05,0,0.00018289,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260912,Base,20260912,mixed,3,block_heterogeneous,lp-export,43,38,8,8.66679e+11,8.66679e+11,0.0406862,0.0406862,0,0,0.000173055,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260912,SA-Mat,20260912,mixed,3,block_heterogeneous,lp-export,43,38,8,8.66679e+11,6.2235e+06,0.0406862,0.374084,2.3813e-05,0,0.000188488,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260912,Flat-GM,20260912,mixed,3,block_heterogeneous,lp-export,43,38,8,8.66679e+11,1.90207e+06,0.0406862,0,1.2824e-05,0,0.000167473,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260912,Flat-L2,20260912,mixed,3,block_heterogeneous,lp-export,43,38,8,8.66679e+11,3.08493e+06,0.0406862,0,1.2e-05,0,0.000165748,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260912,Role-Hybrid,20260912,mixed,3,block_heterogeneous,lp-export,43,38,8,8.66679e+11,6.2235e+06,0.0406862,0.374084,2.1387e-05,0,0.000178594,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260912,SA-Mat-permB,20260912,mixed,3,block_heterogeneous,lp-export,43,38,8,8.66679e+11,6.2235e+06,0.0406862,0.374084,2.6779e-05,0,0.000192479,NA,NA,NA,NA,NA,NA
mixed_S3_seed20260913,Base,20260913,mixed,3,block_heterogeneous,lp-export,43,38,8,2.5192e+11,2.5192e+11,49.7734,49.7734,0,0,0.000176358,NA,NA,NA,NA,NA,NA
