solver,method,n,attempted,abstained,exact_optimal,failed
cplex,L2,192,192,0,140,52
cplex,Budget-GM,192,192,0,140,52
cplex,GM,192,192,0,140,52
cplex,Dyadic-GM,192,192,0,140,52
cplex,Base,192,192,0,150,42
cplex,Budget-round,192,48,144,48,0
cplex,Budget-only,192,192,0,140,52
cplex,GM-tight,192,192,0,166,26
cplex,Budget-dyadic,192,192,0,140,52
