class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
full,instance024.txt,Base,23763,14046,9717,0.0,0.0,1.0,1.0,57555,5.149178042597103e+21,5.149178042597103e+21,5.149178042597103e+21,1.0,1.8337220814820793e-12,fc984bba14033fc96e95670897312a8a173464be75a881254fb9139d9031d805,70dd6b7daac79d41238ce8a31090f83757f4dbf2ed90e5b3f54950a559c879c7
full,instance024.txt,Flat-GM,23763,14046,9717,1.545701637747107e-16,0.0,8.403697983653714e-06,55.94837030805733,57555,5978369981677105.0,5978369981677105.0,5978369981677105.0,1.0,1.4731653015922233e-10,79d9cce07afc2ada49afaa8f2d47e69af9d828d292d99e07d96322e8c99d7dfc,560311a458ed4b5af14b6495590da90f2e1f88cf9f0c0a643ea37560fde32417
full,instance024.txt,Flat-L2,23763,14046,9717,0.0,0.0,7.070102832199038e-08,1.0,57555,2.4750840767360914e+23,2.4750840767360914e+23,2.4750840767360914e+23,1.0,9.256484416551294e-11,865268798adb4b3e58ffdcc2117a81b572f1e901a3ada8f4754a7b433897ffda,d78135a359206fc0f4558a39cafaea9da56d5abfe278e5201e7a1b106a05613d
full,instance024.txt,Role-Hybrid,23763,14046,9717,1.545701637747107e-16,0.0,8.403697983653714e-06,55.94837030805733,57555,5978369981677105.0,5978369981677105.0,5978369981677105.0,1.0,1.1410026077349366e-10,0f3f661489c0a8538e9618a2ae5bfd926306a7f70de6772a6c6caa23e124d8eb,b0d79ae5f3a014b32339e5e9daba6b4c82ada4f8140f2018d806b47ea99e1a24
full,instance024.txt,SA-Mat,23763,14046,9717,1.545701637747107e-16,0.0,8.403697983653714e-06,55.94837030805733,57555,5978369981677105.0,5978369981677105.0,5978369981677105.0,1.0,1.1410026077349366e-10,0f3f661489c0a8538e9618a2ae5bfd926306a7f70de6772a6c6caa23e124d8eb,b0d79ae5f3a014b32339e5e9daba6b4c82ada4f8140f2018d806b47ea99e1a24
