run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s3,i077,4,18,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Role-Hybrid,gurobi,0.01,3,1800.0,1
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s3,i077,4,19,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-L2,gurobi,0.01,3,1800.0,1
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s3,i077,5,20,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Role-Hybrid,gurobi,0.001,3,1800.0,1
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s3,i077,5,21,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-GM,gurobi,0.001,3,1800.0,1
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s3,i077,5,22,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-L2,gurobi,0.001,3,1800.0,1
i077-gurobi-sgtm-instance077-Base-g0.001-s3,i077,5,23,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Base,gurobi,0.001,3,1800.0,1
i077-gurobi-sgtm-instance077-Base-g0.01-s4,i077,6,24,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Base,gurobi,0.01,4,1800.0,1
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s4,i077,6,25,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Role-Hybrid,gurobi,0.01,4,1800.0,1
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s4,i077,6,26,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-GM,gurobi,0.01,4,1800.0,1
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s4,i077,6,27,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-L2,gurobi,0.01,4,1800.0,1
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s4,i077,7,28,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-GM,gurobi,0.001,4,1800.0,1
i077-gurobi-sgtm-instance077-Base-g0.001-s4,i077,7,29,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Base,gurobi,0.001,4,1800.0,1
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s4,i077,7,30,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Role-Hybrid,gurobi,0.001,4,1800.0,1
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s4,i077,7,31,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-L2,gurobi,0.001,4,1800.0,1
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s5,i077,8,32,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-GM,gurobi,0.01,5,1800.0,1
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s5,i077,8,33,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Role-Hybrid,gurobi,0.01,5,1800.0,1
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s5,i077,8,34,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-L2,gurobi,0.01,5,1800.0,1
i077-gurobi-sgtm-instance077-Base-g0.01-s5,i077,8,35,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Base,gurobi,0.01,5,1800.0,1
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s5,i077,9,36,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-L2,gurobi,0.001,5,1800.0,1
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s5,i077,9,37,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Role-Hybrid,gurobi,0.001,5,1800.0,1
i077-gurobi-sgtm-instance077-Base-g0.001-s5,i077,9,38,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Base,gurobi,0.001,5,1800.0,1
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s5,i077,9,39,SG-Ter-Mer,instance077,data/entradas/entrada-SG-Ter-Mer/instance077.txt,607b0fb4e825a368dfd4bd56544d2b528287595aa371b74552beeb3d3f5c54bd,Flat-GM,gurobi,0.001,5,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-GM-g0.01-s1,i077,10,40,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-GM,gurobi,0.01,1,1800.0,1
i077-gurobi-sgtm-instance077c-Role-Hybrid-g0.01-s1,i077,10,41,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Role-Hybrid,gurobi,0.01,1,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-L2-g0.01-s1,i077,10,42,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-L2,gurobi,0.01,1,1800.0,1
i077-gurobi-sgtm-instance077c-Base-g0.01-s1,i077,10,43,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Base,gurobi,0.01,1,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-GM-g0.001-s1,i077,11,44,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-GM,gurobi,0.001,1,1800.0,1
i077-gurobi-sgtm-instance077c-Role-Hybrid-g0.001-s1,i077,11,45,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Role-Hybrid,gurobi,0.001,1,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-L2-g0.001-s1,i077,11,46,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-L2,gurobi,0.001,1,1800.0,1
i077-gurobi-sgtm-instance077c-Base-g0.001-s1,i077,11,47,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Base,gurobi,0.001,1,1800.0,1
i077-gurobi-sgtm-instance077c-Role-Hybrid-g0.01-s2,i077,12,48,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Role-Hybrid,gurobi,0.01,2,1800.0,1
i077-gurobi-sgtm-instance077c-Base-g0.01-s2,i077,12,49,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Base,gurobi,0.01,2,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-L2-g0.01-s2,i077,12,50,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-L2,gurobi,0.01,2,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-GM-g0.01-s2,i077,12,51,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-GM,gurobi,0.01,2,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-L2-g0.001-s2,i077,13,52,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-L2,gurobi,0.001,2,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-GM-g0.001-s2,i077,13,53,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-GM,gurobi,0.001,2,1800.0,1
i077-gurobi-sgtm-instance077c-Role-Hybrid-g0.001-s2,i077,13,54,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Role-Hybrid,gurobi,0.001,2,1800.0,1
i077-gurobi-sgtm-instance077c-Base-g0.001-s2,i077,13,55,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Base,gurobi,0.001,2,1800.0,1
i077-gurobi-sgtm-instance077c-Flat-L2-g0.01-s3,i077,14,56,SG-Ter-Mer,instance077c,data/benchmark-v1/instance077-corrected/instance077.txt,7d107c7a1cfd468442f63d2d0bd753a13443e00aa167842a5eba870984673515,Flat-L2,gurobi,0.01,3,1800.0,1
