run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
pilot-highs-simple-v1_simple_000204-Base-g0.001-s1,pilot,9,19,Simple,v1_simple_000204,data/benchmark-v1/simple/v1_simple_000204.txt,be8c5deec6ebf3ffc3c1c30ed11e92a3192fd7ec28296c46490c18d9a9ac703d,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000048-Base-g0.01-s1,pilot,10,20,SG-Ter-Mer,v1_sgtm_000048,data/benchmark-v1/sgtm/v1_sgtm_000048.txt,78a20e78d0e736acac03df2106be4b5d78244445705754d65480b2f4e7d0576d,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000048-Base-g0.001-s1,pilot,10,21,SG-Ter-Mer,v1_sgtm_000048,data/benchmark-v1/sgtm/v1_sgtm_000048.txt,78a20e78d0e736acac03df2106be4b5d78244445705754d65480b2f4e7d0576d,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000292-Base-g0.01-s1,pilot,11,22,SG-Ter-Mer,v1_sgtm_000292,data/benchmark-v1/sgtm/v1_sgtm_000292.txt,60471d461bc12d0b510d64d57a62a1c886d00b6b5f5996633d33438e9b65a346,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000292-Base-g0.001-s1,pilot,11,23,SG-Ter-Mer,v1_sgtm_000292,data/benchmark-v1/sgtm/v1_sgtm_000292.txt,60471d461bc12d0b510d64d57a62a1c886d00b6b5f5996633d33438e9b65a346,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000205-Base-g0.01-s1,pilot,12,24,SG-Ter-Mer,v1_sgtm_000205,data/benchmark-v1/sgtm/v1_sgtm_000205.txt,a9ecdca848349a2be75d2c882929b8638a5b99f40f2adb6865a158668dd094e4,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000205-Base-g0.001-s1,pilot,12,25,SG-Ter-Mer,v1_sgtm_000205,data/benchmark-v1/sgtm/v1_sgtm_000205.txt,a9ecdca848349a2be75d2c882929b8638a5b99f40f2adb6865a158668dd094e4,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000315-Base-g0.01-s1,pilot,13,26,SG-Ter-Mer,v1_sgtm_000315,data/benchmark-v1/sgtm/v1_sgtm_000315.txt,ca898024978e3eb1f207e57dc23dc81a0457540249a0281d0b480a33dcb21b82,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000315-Base-g0.001-s1,pilot,13,27,SG-Ter-Mer,v1_sgtm_000315,data/benchmark-v1/sgtm/v1_sgtm_000315.txt,ca898024978e3eb1f207e57dc23dc81a0457540249a0281d0b480a33dcb21b82,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000402-Base-g0.01-s1,pilot,14,28,SG-Ter-Mer,v1_sgtm_000402,data/benchmark-v1/sgtm/v1_sgtm_000402.txt,4eb6649501efb0fcf1d392ff23a803fbfac8eaabf928464edd0a38d5bfd88ff6,Base,highs,0.01,1,7200.0,1
