family,pool_version,instance,log,threads,mipgap,timelimit,status,time,work,final_gap_pct,t_gap1,integer_vars,t_gap01
SG-Ter-Mer,corrected pool,v1_sgtm_000469,hist_sgtm_fixed/part_468_of_500/logs/v1_sgtm_000469_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,3244.17,4.0517,inf,1440,inf
SG-Ter-Mer,corrected pool,v1_sgtm_000470,hist_sgtm_fixed/part_469_of_500/logs/v1_sgtm_000470_base.log,1,0.001,3600.0,OPTIMAL,18.13,15.76,0.0899,18.13,1440,18.13
SG-Ter-Mer,corrected pool,v1_sgtm_000471,hist_sgtm_fixed/part_470_of_500/logs/v1_sgtm_000471_base.log,1,0.001,3600.0,OPTIMAL,0.41,0.38,0.0953,0.0,1440,0.41
SG-Ter-Mer,corrected pool,v1_sgtm_000472,hist_sgtm_fixed/part_471_of_500/logs/v1_sgtm_000472_base.log,1,0.001,3600.0,OPTIMAL,37.23,35.04,0.0935,37.23,1440,37.23
SG-Ter-Mer,corrected pool,v1_sgtm_000473,hist_sgtm_fixed/part_472_of_500/logs/v1_sgtm_000473_base.log,1,0.001,3600.0,OPTIMAL,37.37,35.93,0.0772,37.37,1440,37.37
SG-Ter-Mer,corrected pool,v1_sgtm_000474,hist_sgtm_fixed/part_473_of_500/logs/v1_sgtm_000474_base.log,1,0.001,3600.0,OPTIMAL,0.2,0.14,0.0,0.2,1440,0.2
SG-Ter-Mer,corrected pool,v1_sgtm_000475,hist_sgtm_fixed/part_474_of_500/logs/v1_sgtm_000475_base.log,1,0.001,3600.0,OPTIMAL,0.52,0.64,0.0535,0.0,1440,0.52
SG-Ter-Mer,corrected pool,v1_sgtm_000476,hist_sgtm_fixed/part_475_of_500/logs/v1_sgtm_000476_base.log,1,0.001,3600.0,OPTIMAL,0.82,0.6,0.0026,0.0,1440,0.82
SG-Ter-Mer,corrected pool,v1_sgtm_000477,hist_sgtm_fixed/part_476_of_500/logs/v1_sgtm_000477_base.log,1,0.001,3600.0,OPTIMAL,46.61,45.33,0.0503,46.61,1440,46.61
SG-Ter-Mer,corrected pool,v1_sgtm_000478,hist_sgtm_fixed/part_477_of_500/logs/v1_sgtm_000478_base.log,1,0.001,3600.0,OPTIMAL,0.28,0.27,0.0,0.0,1440,0.28
SG-Ter-Mer,corrected pool,v1_sgtm_000479,hist_sgtm_fixed/part_478_of_500/logs/v1_sgtm_000479_base.log,1,0.001,3600.0,OPTIMAL,50.87,45.35,0.0623,50.0,1440,50.87
SG-Ter-Mer,corrected pool,v1_sgtm_000480,hist_sgtm_fixed/part_479_of_500/logs/v1_sgtm_000480_base.log,1,0.001,3600.0,OPTIMAL,0.47,0.47,0.0,0.0,1440,0.47
SG-Ter-Mer,corrected pool,v1_sgtm_000481,hist_sgtm_fixed/part_480_of_500/logs/v1_sgtm_000481_base.log,1,0.001,3600.0,OPTIMAL,0.75,0.57,0.0,0.0,1440,0.75
SG-Ter-Mer,corrected pool,v1_sgtm_000482,hist_sgtm_fixed/part_481_of_500/logs/v1_sgtm_000482_base.log,1,0.001,3600.0,OPTIMAL,3.2,3.05,0.0825,2.0,1440,3.2
SG-Ter-Mer,corrected pool,v1_sgtm_000483,hist_sgtm_fixed/part_482_of_500/logs/v1_sgtm_000483_base.log,1,0.001,3600.0,OPTIMAL,50.31,45.89,0.0947,34.0,1440,50.31
SG-Ter-Mer,corrected pool,v1_sgtm_000484,hist_sgtm_fixed/part_483_of_500/logs/v1_sgtm_000484_base.log,1,0.001,3600.0,OPTIMAL,0.19,0.14,0.0,0.19,1440,0.19
SG-Ter-Mer,corrected pool,v1_sgtm_000485,hist_sgtm_fixed/part_484_of_500/logs/v1_sgtm_000485_base.log,1,0.001,3600.0,OPTIMAL,9.3,7.79,0.071,3.0,1440,9.3
SG-Ter-Mer,corrected pool,v1_sgtm_000486,hist_sgtm_fixed/part_485_of_500/logs/v1_sgtm_000486_base.log,1,0.001,3600.0,OPTIMAL,19.25,17.64,0.0374,19.0,1440,19.25
SG-Ter-Mer,corrected pool,v1_sgtm_000487,hist_sgtm_fixed/part_486_of_500/logs/v1_sgtm_000487_base.log,1,0.001,3600.0,OPTIMAL,28.7,27.04,0.0012,28.7,1440,28.7
SG-Ter-Mer,corrected pool,v1_sgtm_000488,hist_sgtm_fixed/part_487_of_500/logs/v1_sgtm_000488_base.log,1,0.001,3600.0,OPTIMAL,21.25,21.2,0.0,21.25,1440,21.25
SG-Ter-Mer,corrected pool,v1_sgtm_000489,hist_sgtm_fixed/part_488_of_500/logs/v1_sgtm_000489_base.log,1,0.001,3600.0,OPTIMAL,20.62,20.23,0.0626,20.62,1440,20.62
SG-Ter-Mer,corrected pool,v1_sgtm_000490,hist_sgtm_fixed/part_489_of_500/logs/v1_sgtm_000490_base.log,1,0.001,3600.0,OPTIMAL,121.62,109.39,0.0,121.62,1440,121.62
SG-Ter-Mer,corrected pool,v1_sgtm_000491,hist_sgtm_fixed/part_490_of_500/logs/v1_sgtm_000491_base.log,1,0.001,3600.0,OPTIMAL,0.53,0.58,0.0,0.0,1440,0.53
SG-Ter-Mer,corrected pool,v1_sgtm_000492,hist_sgtm_fixed/part_491_of_500/logs/v1_sgtm_000492_base.log,1,0.001,3600.0,OPTIMAL,9.1,9.18,0.0,9.1,1440,9.1
SG-Ter-Mer,corrected pool,v1_sgtm_000493,hist_sgtm_fixed/part_492_of_500/logs/v1_sgtm_000493_base.log,1,0.001,3600.0,OPTIMAL,0.4,0.33,0.095,0.0,1440,0.4
SG-Ter-Mer,corrected pool,v1_sgtm_000494,hist_sgtm_fixed/part_493_of_500/logs/v1_sgtm_000494_base.log,1,0.001,3600.0,OPTIMAL,11.42,11.09,0.0978,11.42,1440,11.42
SG-Ter-Mer,corrected pool,v1_sgtm_000495,hist_sgtm_fixed/part_494_of_500/logs/v1_sgtm_000495_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,3669.2,0.2126,320.0,1440,inf
SG-Ter-Mer,corrected pool,v1_sgtm_000496,hist_sgtm_fixed/part_495_of_500/logs/v1_sgtm_000496_base.log,1,0.001,3600.0,OPTIMAL,29.04,27.19,0.0991,20.0,1440,29.04
SG-Ter-Mer,corrected pool,v1_sgtm_000497,hist_sgtm_fixed/part_496_of_500/logs/v1_sgtm_000497_base.log,1,0.001,3600.0,OPTIMAL,0.58,0.49,0.0,0.0,1440,0.58
SG-Ter-Mer,corrected pool,v1_sgtm_000498,hist_sgtm_fixed/part_497_of_500/logs/v1_sgtm_000498_base.log,1,0.001,3600.0,OPTIMAL,1.22,0.78,0.0111,1.0,1440,1.22
SG-Ter-Mer,corrected pool,v1_sgtm_000499,hist_sgtm_fixed/part_498_of_500/logs/v1_sgtm_000499_base.log,1,0.001,3600.0,OPTIMAL,0.25,0.22,0.0137,0.0,1440,0.25
SG-Ter-Mer,corrected pool,v1_sgtm_000500,hist_sgtm_fixed/part_499_of_500/logs/v1_sgtm_000500_base.log,1,0.001,3600.0,OPTIMAL,0.22,0.2,0.0,0.0,1440,0.22
Full,sealed release,v1_completo_000001,hist_banco_base/completo/part_000_of_100/logs/v1_completo_000001_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,4239.66,0.2935,2035.0,3600,inf
Full,sealed release,v1_completo_000101,hist_banco_base/completo/part_000_of_100/logs/v1_completo_000101_base.log,1,0.001,3600.0,OPTIMAL,12.24,13.93,0.0,8.0,3600,12.24
Full,sealed release,v1_completo_000201,hist_banco_base/completo/part_000_of_100/logs/v1_completo_000201_base.log,1,0.001,3600.0,OPTIMAL,27.61,42.95,0.0956,3.0,3600,27.61
Full,sealed release,v1_completo_000301,hist_banco_base/completo/part_000_of_100/logs/v1_completo_000301_base.log,1,0.001,3600.0,OPTIMAL,2541.44,2920.45,0.1,385.0,3600,2541.44
Full,sealed release,v1_completo_000401,hist_banco_base/completo/part_000_of_100/logs/v1_completo_000401_base.log,1,0.001,3600.0,OPTIMAL,2237.03,2606.06,0.1,108.0,3600,2237.03
Full,sealed release,v1_completo_000002,hist_banco_base/completo/part_001_of_100/logs/v1_completo_000002_base.log,1,0.001,3600.0,OPTIMAL,180.88,225.54,0.099,54.0,3600,180.88
Full,sealed release,v1_completo_000102,hist_banco_base/completo/part_001_of_100/logs/v1_completo_000102_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,4093.11,0.303,445.0,3600,inf
Full,sealed release,v1_completo_000202,hist_banco_base/completo/part_001_of_100/logs/v1_completo_000202_base.log,1,0.001,3600.0,OPTIMAL,110.63,149.49,0.0987,3.0,3600,110.63
Full,sealed release,v1_completo_000302,hist_banco_base/completo/part_001_of_100/logs/v1_completo_000302_base.log,1,0.001,3600.0,OPTIMAL,716.49,834.87,0.0998,180.0,3600,716.49
Full,sealed release,v1_completo_000402,hist_banco_base/completo/part_001_of_100/logs/v1_completo_000402_base.log,1,0.001,3600.0,OPTIMAL,1104.48,1214.28,0.0999,475.0,3600,1104.48
Full,sealed release,v1_completo_000003,hist_banco_base/completo/part_002_of_100/logs/v1_completo_000003_base.log,1,0.001,3600.0,OPTIMAL,1541.07,1982.62,0.0994,242.0,3600,1541.07
Full,sealed release,v1_completo_000103,hist_banco_base/completo/part_002_of_100/logs/v1_completo_000103_base.log,1,0.001,3600.0,OPTIMAL,14.41,17.81,0.0893,12.0,3600,14.41
Full,sealed release,v1_completo_000203,hist_banco_base/completo/part_002_of_100/logs/v1_completo_000203_base.log,1,0.001,3600.0,TIME_LIMIT,3600.02,4681.88,0.3391,810.0,3600,inf
Full,sealed release,v1_completo_000303,hist_banco_base/completo/part_002_of_100/logs/v1_completo_000303_base.log,1,0.001,3600.0,OPTIMAL,1820.53,2279.23,0.0995,1030.0,3600,1820.53
Full,sealed release,v1_completo_000403,hist_banco_base/completo/part_002_of_100/logs/v1_completo_000403_base.log,1,0.001,3600.0,OPTIMAL,350.55,421.12,0.1,55.0,3600,350.55
Full,sealed release,v1_completo_000004,hist_banco_base/completo/part_003_of_100/logs/v1_completo_000004_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,4419.94,0.3682,71.0,3600,inf
Full,sealed release,v1_completo_000104,hist_banco_base/completo/part_003_of_100/logs/v1_completo_000104_base.log,1,0.001,3600.0,OPTIMAL,2179.82,2397.16,0.0993,1785.0,3600,2179.82
Full,sealed release,v1_completo_000204,hist_banco_base/completo/part_003_of_100/logs/v1_completo_000204_base.log,1,0.001,3600.0,OPTIMAL,55.65,72.78,0.0743,6.0,3600,55.65
Full,sealed release,v1_completo_000304,hist_banco_base/completo/part_003_of_100/logs/v1_completo_000304_base.log,1,0.001,3600.0,OPTIMAL,2.54,2.96,0.067,2.0,3600,2.54
Full,sealed release,v1_completo_000404,hist_banco_base/completo/part_003_of_100/logs/v1_completo_000404_base.log,1,0.001,3600.0,OPTIMAL,123.42,133.59,0.053,123.42,3600,123.42
Full,sealed release,v1_completo_000005,hist_banco_base/completo/part_004_of_100/logs/v1_completo_000005_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,3862.56,1.7692,inf,3600,inf
Full,sealed release,v1_completo_000105,hist_banco_base/completo/part_004_of_100/logs/v1_completo_000105_base.log,1,0.001,3600.0,OPTIMAL,175.01,240.49,0.0995,6.0,3600,175.01
Full,sealed release,v1_completo_000205,hist_banco_base/completo/part_004_of_100/logs/v1_completo_000205_base.log,1,0.001,3600.0,OPTIMAL,2.02,2.32,0.0,2.0,3600,2.02
Full,sealed release,v1_completo_000305,hist_banco_base/completo/part_004_of_100/logs/v1_completo_000305_base.log,1,0.001,3600.0,OPTIMAL,4.41,5.35,0.0615,4.0,3600,4.41
Full,sealed release,v1_completo_000405,hist_banco_base/completo/part_004_of_100/logs/v1_completo_000405_base.log,1,0.001,3600.0,OPTIMAL,144.69,160.82,0.0533,95.0,3600,144.69
Full,sealed release,v1_completo_000006,hist_banco_base/completo/part_005_of_100/logs/v1_completo_000006_base.log,1,0.001,3600.0,OPTIMAL,1213.47,1492.74,0.0754,1050.0,3600,1213.47
Full,sealed release,v1_completo_000106,hist_banco_base/completo/part_005_of_100/logs/v1_completo_000106_base.log,1,0.001,3600.0,OPTIMAL,1.02,1.15,0.0,1.0,3600,1.02
Full,sealed release,v1_completo_000206,hist_banco_base/completo/part_005_of_100/logs/v1_completo_000206_base.log,1,0.001,3600.0,OPTIMAL,186.04,238.12,0.0997,3.0,3600,186.04
Full,sealed release,v1_completo_000306,hist_banco_base/completo/part_005_of_100/logs/v1_completo_000306_base.log,1,0.001,3600.0,OPTIMAL,14.84,21.67,0.001,3.0,3600,14.84
Full,sealed release,v1_completo_000406,hist_banco_base/completo/part_005_of_100/logs/v1_completo_000406_base.log,1,0.001,3600.0,OPTIMAL,2786.02,3147.39,0.1,1470.0,3600,2786.02
Full,sealed release,v1_completo_000007,hist_banco_base/completo/part_006_of_100/logs/v1_completo_000007_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,3976.32,1.4097,inf,3600,inf
Full,sealed release,v1_completo_000107,hist_banco_base/completo/part_006_of_100/logs/v1_completo_000107_base.log,1,0.001,3600.0,OPTIMAL,128.68,159.09,0.0999,4.0,3600,128.68
Full,sealed release,v1_completo_000207,hist_banco_base/completo/part_006_of_100/logs/v1_completo_000207_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,4260.12,61.4832,inf,3600,inf
Full,sealed release,v1_completo_000307,hist_banco_base/completo/part_006_of_100/logs/v1_completo_000307_base.log,1,0.001,3600.0,OPTIMAL,912.92,1109.56,0.097,4.0,3600,912.92
Full,sealed release,v1_completo_000407,hist_banco_base/completo/part_006_of_100/logs/v1_completo_000407_base.log,1,0.001,3600.0,OPTIMAL,16.49,19.64,0.0789,4.0,3600,16.49
Full,sealed release,v1_completo_000008,hist_banco_base/completo/part_007_of_100/logs/v1_completo_000008_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,4295.1,2.1621,inf,3600,inf
Full,sealed release,v1_completo_000108,hist_banco_base/completo/part_007_of_100/logs/v1_completo_000108_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,4158.01,2.538,inf,3600,inf
Full,sealed release,v1_completo_000208,hist_banco_base/completo/part_007_of_100/logs/v1_completo_000208_base.log,1,0.001,3600.0,OPTIMAL,199.88,258.82,0.1,90.0,3600,199.88
Full,sealed release,v1_completo_000308,hist_banco_base/completo/part_007_of_100/logs/v1_completo_000308_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,4203.91,10.4872,inf,3600,inf
Full,sealed release,v1_completo_000408,hist_banco_base/completo/part_007_of_100/logs/v1_completo_000408_base.log,1,0.001,3600.0,OPTIMAL,132.01,175.26,0.0976,90.0,3600,132.01
Full,sealed release,v1_completo_000009,hist_banco_base/completo/part_008_of_100/logs/v1_completo_000009_base.log,1,0.001,3600.0,OPTIMAL,46.08,59.48,0.0998,39.0,3600,46.08
Full,sealed release,v1_completo_000109,hist_banco_base/completo/part_008_of_100/logs/v1_completo_000109_base.log,1,0.001,3600.0,OPTIMAL,2661.04,3234.83,0.1,236.0,3600,2661.04
