class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso04c.txt,Base,14400,9412,4988,0.0,0.0,1.0,1.0,35590,2.663997120736655e+19,2.6569181715891483e+19,2.663997120736655e+19,1.002664345941551,9.779068442188224e-11,1090dd547871ebcbf7f57048e6387a0d8e65e6146f6be14be6e231171f6220e8,dd1130dd41367c9b345e7a4cd74ba12acaf378e4058578e9f56aca4679209727
simple,caso04c.txt,Flat-GM,14400,9412,4988,1.3581743933816084e-16,1.1437540306950503e-16,2.3574026020000694e-05,22.65125612335907,35590,29112195091999.945,29112195091999.945,29112195091999.945,1.0,2.9208612974587625e-11,864c228d883947f4d7845d054832da6c724d56fefa1acda90266cc8eda7c2cb2,1cb05810534010597aad16fb5c56be2f5b61f803ce0c30294fe0768908daf7d5
simple,caso04c.txt,Flat-L2,14400,9412,4988,0.0,0.0,0.00013888888620970514,1.0,35590,4.3393717867792474e+19,4.3393717867792474e+19,4.3393717867792474e+19,1.0,2.654659493158839e-12,4b90985b3a1470a4987e8fd32dc57332175a82a53a58c7476dd8d49107a76027,365396841212a10467711c324e038f71675a014bcb6e33cc9e0834873965083c
simple,caso04c.txt,Role-Hybrid,14400,9412,4988,1.3581743933816084e-16,1.1437540306950503e-16,2.3574026020000694e-05,22.65125612335907,35590,29112195091999.945,29112195091999.945,29112195091999.945,1.0,2.9208612974587625e-11,864c228d883947f4d7845d054832da6c724d56fefa1acda90266cc8eda7c2cb2,1cb05810534010597aad16fb5c56be2f5b61f803ce0c30294fe0768908daf7d5
simple,caso04c.txt,SA-Mat,14400,9412,4988,1.3581743933816084e-16,1.1437540306950503e-16,2.3574026020000694e-05,22.65125612335907,35590,29112195091999.945,29112195091999.945,29112195091999.945,1.0,2.9208612974587625e-11,864c228d883947f4d7845d054832da6c724d56fefa1acda90266cc8eda7c2cb2,1cb05810534010597aad16fb5c56be2f5b61f803ce0c30294fe0768908daf7d5
