family,M,method,solver,configurations,median_optimize_seconds,q25_optimize_seconds,q75_optimize_seconds,min_optimize_seconds,max_optimize_seconds,median_prep_plus_optimize_seconds
original,1000000000000,Rounded-direction,highs,8,0.01221426700067235,0.0110644155001864,0.013129169500643825,0.0040609150019008,0.0226717430014105,0.023253125000337452
original,1000000000000,Rounded-direction,gurobi,8,0.005366717001379549,0.002805197747875275,0.008222606750678025,0.001873097000498,0.029267912999785,0.015756456001326948
original,1000000000000,Rational-direction,highs,8,0.0122649280001496,0.00997525375260005,0.0138779687495116,0.0041712140009622,0.0240437809989089,0.024982492999697452
original,1000000000000,Rational-direction,gurobi,8,0.00448050349950785,0.002840793001269025,0.00526446425010355,0.0018525599989516,0.0129190660009044,0.0171980684990557
original,1000000000,Rounded-direction,highs,8,0.0117303770002763,0.009538845499264375,0.012899347751044775,0.0040726199986238,0.0226551119994837,0.0217207790028623
original,1000000000,Rounded-direction,gurobi,8,0.00453712499984245,0.0028092532493246497,0.005603903001428975,0.0018982340006914,0.0127616819991089,0.0151576145017315
original,1000000000,Rational-direction,highs,8,0.01225666200116385,0.010052171000097525,0.013898734750910049,0.0041729600015969,0.0239599460001045,0.0248302455020165
original,1000000000,Rational-direction,gurobi,8,0.0044044680016668,0.002802224000333775,0.005361725250622825,0.00188871499995,0.0135889009980019,0.01697805150251945
original,1000000,Rounded-direction,highs,8,0.0118357089995697,0.00963705750018555,0.012878869999440198,0.0040350529998249,0.0228658340020047,0.021780411500003448
original,1000000,Rounded-direction,gurobi,8,0.00438042999849125,0.002819462749357575,0.005562538249250725,0.0018573630004539,0.0128519440004311,0.014396932996532899
original,1000000,Rational-direction,highs,8,0.012334965000263699,0.01003121025041755,0.0139487152500805,0.0041876469986164,0.0239662210005917,0.02428225649964575
original,1000000,Rational-direction,gurobi,8,0.0043720454996218,0.002827503002663425,0.0052990857502663,0.0019396099996811,0.0128384870004083,0.01631933699900385
multilevel,1000,Base,highs,8,0.010465393001140851,0.008474506001220924,0.0117309012493933,0.0053077709999342,0.0144814810009847,0.010466712499692162
multilevel,1000,Base,gurobi,8,0.0033224954986508,0.0029806109987475246,0.004448370500540425,0.0020741309999721,0.0056795309974404,0.0033240164993912674
multilevel,1000,GCD-floor,highs,8,0.0104733149983076,0.00846753425139465,0.011708013249517474,0.0052392329998838,0.0142106690000218,0.0159849219980969
multilevel,1000,GCD-floor,gurobi,8,0.00332820600124245,0.00293520449940835,0.004467217000637875,0.0021041280015197,0.0055477889982284,0.00873192850121985
multilevel,1000,Single-coefficient,highs,8,0.0104822585017245,0.0084470649981085,0.011707753000337075,0.0053323710017139,0.0144206770019081,0.020431113500308
multilevel,1000,Single-coefficient,gurobi,8,0.0033221784997293996,0.00300033599978625,0.004438255499735525,0.0021076800003356,0.0055256519990507,0.01345746899823995
multilevel,1000,Dyadic-GM,highs,8,0.01028652150125705,0.008444473000963576,0.01047317850043325,0.0047093629982555,0.017654768002103,0.019506900500346
multilevel,1000,Dyadic-GM,gurobi,8,0.00334954800018745,0.0028921335006088502,0.004344565750216051,0.0021329330011212,0.0050669919983192,0.012543519000246202
multilevel,1000,Rounded-direction,highs,8,0.01047359350013715,0.00849966450186905,0.011703212999236625,0.0052465490007307,0.0141471220013045,0.012006640998151701
multilevel,1000,Rounded-direction,gurobi,8,0.0033976430004257997,0.0029985330011186,0.004526327248640875,0.0020872060013061,0.0056428690004395,0.0049487640008009
multilevel,1000,Rational-direction,highs,8,0.010432599499836201,0.008489414000905474,0.011847878498883774,0.0052463680003711,0.014223802001652,0.01194872999985815
multilevel,1000,Rational-direction,gurobi,8,0.00328694949894265,0.0029854430013074,0.00449356949957285,0.0021269590033625,0.0054562939985771,0.00482478750018335
multilevel,1000,Oracle-direction,highs,8,0.0108995094997226,0.0100479027505571,0.012823217500226676,0.0044080990010115,0.0178879819977737,0.0172572559986292
multilevel,1000,Oracle-direction,gurobi,8,0.00328801099931295,0.0025628260009398,0.0041441312496317,0.0020848140011366,0.0045273169998836,0.009606815998267751
multilevel,1000000,Base,highs,8,0.01441312799943255,0.0114528915009941,0.020906087250295927,0.0106227459982619,0.0268770330003462,0.01441473100021533
multilevel,1000000,Base,gurobi,8,0.0039323170003626,0.00330346499958975,0.0045605499990415,0.0023715110000921,0.0054490729999088,0.0039338639999186124
multilevel,1000000,GCD-floor,highs,8,0.014381659999344201,0.011464122749202926,0.0209781134999502,0.0105832760018529,0.0271178260009037,0.0197340819995587
multilevel,1000000,GCD-floor,gurobi,8,0.00332432599861925,0.003032290249393475,0.004419427498760275,0.00246540399894,0.0050332969985902,0.00864699649901
multilevel,1000000,Single-coefficient,highs,8,0.0144126084996969,0.011452983500930651,0.020973212251192225,0.010527792997891,0.0270304559999203,0.024424385999736703
multilevel,1000000,Single-coefficient,gurobi,8,0.0034152864991483,0.003049582251151125,0.004436250501385,0.0022470369985967,0.0049084710008173,0.01353538049988845
multilevel,1000000,Dyadic-GM,highs,8,0.016156123499968048,0.0109036489984646,0.02096926949889165,0.0094563390011899,0.0232809300032386,0.02668779949817685
multilevel,1000000,Dyadic-GM,gurobi,8,0.0045985825017851,0.003971702250964825,0.005319701001098975,0.0031115849997149,0.0063932390003174,0.01408829650245015
multilevel,1000000,Rounded-direction,highs,8,0.011111554998933501,0.01100219025011025,0.0159198449982795,0.0096827339984884,0.0183882370001811,0.0223474749964225
multilevel,1000000,Rounded-direction,gurobi,8,0.00324265299968825,0.0027219177500228,0.00456268700054345,0.0023077930018189,0.0051022560001001,0.014009123997311648
multilevel,1000000,Rational-direction,highs,8,0.010488852500202449,0.01007126325021085,0.011031293997802925,0.0045364779980445,0.0112198869974236,0.02807173949804555
multilevel,1000000,Rational-direction,gurobi,8,0.00331828599883005,0.0027277810004306497,0.0037904015007370253,0.002086070999212,0.0041428389995417,0.020793262498045702
multilevel,1000000,Oracle-direction,highs,8,0.01088310699742575,0.0099716194981738,0.012775178749507125,0.0044189380023453,0.017952669000806,0.01715660599802495
multilevel,1000000,Oracle-direction,gurobi,8,0.0032348944987461,0.0023859797520344,0.004008517747934025,0.0020874510009889,0.0044087909991503,0.00947533799990185
multilevel,1000000000,Base,highs,8,0.021424197000669602,0.01601941925127895,0.023189533249933374,0.0116836380002496,0.0319083410031453,0.021425849003207924
multilevel,1000000000,Base,gurobi,8,0.0035703070007002003,0.003333509247568075,0.00500439949973945,0.0029790100015816,0.0080621059969416,0.003571922501578161
multilevel,1000000000,GCD-floor,highs,8,0.0211499044999072,0.016005055750610998,0.02319689475007175,0.0116666270005225,0.0318931270012399,0.0264927064999937
multilevel,1000000000,GCD-floor,gurobi,8,0.00357166100184255,0.003311626001050125,0.004910622001261725,0.0029501700009859,0.0057488729980832,0.008949974500865149
multilevel,1000000000,Single-coefficient,highs,8,0.021276689498336,0.016094809251626423,0.023267872748874624,0.0116116659992258,0.0318591899995226,0.0312663654985953
multilevel,1000000000,Single-coefficient,gurobi,8,0.00359669750105235,0.003234554000300625,0.0050280169989491245,0.002842973000952,0.0055655510004726,0.0137033125010929
