family,M,method,solver,presolve,configurations,solver_reported_optimal,exactly_feasible_after_rounding,exactly_optimal_after_rounding,within_integrality_tolerance,integer_gap_certificate_reported
multilevel,1000000000,Dyadic-GM,gurobi,False,4,4,2,2,4,0
multilevel,1000000000,Dyadic-GM,highs,True,4,4,0,0,4,0
multilevel,1000000000,Dyadic-GM,gurobi,True,4,4,0,0,4,0
multilevel,1000000000,Rounded-direction,highs,False,4,4,4,1,4,0
multilevel,1000000000,Rounded-direction,gurobi,False,4,4,3,3,4,0
multilevel,1000000000,Rounded-direction,highs,True,4,4,4,1,4,0
multilevel,1000000000,Rounded-direction,gurobi,True,4,4,4,4,4,0
multilevel,1000000000,Rational-direction,highs,False,4,4,4,4,4,4
multilevel,1000000000,Rational-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000000000,Rational-direction,highs,True,4,4,4,4,4,4
multilevel,1000000000,Rational-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000000000,Oracle-direction,highs,False,4,4,4,4,4,4
multilevel,1000000000,Oracle-direction,gurobi,False,4,4,4,4,4,4
multilevel,1000000000,Oracle-direction,highs,True,4,4,4,4,4,4
multilevel,1000000000,Oracle-direction,gurobi,True,4,4,4,4,4,4
multilevel,1000000000,Rounded-all,highs,False,4,4,4,4,4,4
multilevel,1000000000,Rounded-all,gurobi,False,4,4,4,4,4,4
multilevel,1000000000,Rounded-all,highs,True,4,4,4,4,4,4
multilevel,1000000000,Rounded-all,gurobi,True,4,4,4,4,4,4
multilevel,1000000,Rounded-all,highs,False,4,4,4,4,4,4
multilevel,1000000,Rounded-all,gurobi,False,4,4,4,4,4,4
multilevel,1000000,Rounded-all,highs,True,4,4,4,4,4,4
multilevel,1000000,Rounded-all,gurobi,True,4,4,4,4,4,4
multilevel,1000,Rounded-all,highs,False,4,4,4,4,4,4
multilevel,1000,Rounded-all,gurobi,False,4,4,4,4,4,4
multilevel,1000,Rounded-all,highs,True,4,4,4,4,4,4
multilevel,1000,Rounded-all,gurobi,True,4,4,4,4,4,4
