M,seed,method,solver,presolve,status,rounded_feasible,rounded_optimal,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,nodes,rows,nnz,max_coefficient,all_rows_gap_safe,max_exported_violation,campaign,family,posthoc_control,solver_reported_optimal,within_integrality_tolerance,gap_certificate_reported,prep_plus_optimize_seconds,source_rows,source_variables,source_max_coefficient
1000000000000,103,Rounded-direction,highs,False,kOptimal,True,True,0.0,616,616,0.0114780889998655,0.0226717430014105,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.034149832001276,25,72,4000000000007.0
1000000000000,103,Rounded-direction,gurobi,False,2,True,True,0.0,616,616,0.0114780889998655,0.0125814590028312,3.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0240595480026967,25,72,4000000000007.0
1000000000000,103,Rounded-direction,highs,True,kOptimal,True,True,0.0,616,616,0.0114780889998655,0.0119916969997575,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.023469785999623002,25,72,4000000000007.0
1000000000000,103,Rounded-direction,gurobi,True,2,True,True,0.0,616,616,0.0114780889998655,0.0067696559999603,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.018247744999825802,25,72,4000000000007.0
1000000000000,103,Rational-direction,highs,False,kOptimal,True,True,0.0,616,616,0.0126989370000956,0.0240437809989089,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0367427179990045,25,72,4000000000007.0
1000000000000,103,Rational-direction,gurobi,False,2,True,True,0.0,616,616,0.0126989370000956,0.0129190660009044,3.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.025618003001,25,72,4000000000007.0
1000000000000,103,Rational-direction,highs,True,kOptimal,True,True,0.0,616,616,0.0126989370000956,0.0120634619997872,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0247623989998828,25,72,4000000000007.0
1000000000000,103,Rational-direction,gurobi,True,2,True,True,0.0,616,616,0.0126989370000956,0.0041614620022301,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0168603990023257,25,72,4000000000007.0
1000000000,100,Rounded-direction,highs,False,kOptimal,True,True,3.1086244689504387e-15,534,534,0.0106334610027261,0.0081083209988719,1.0,25,215,74.0,True,4.9318442509347375e-14,original-100,original,False,True,True,True,0.018741782001597998,25,72,4000000007.0
1000000000,100,Rounded-direction,gurobi,False,2,True,True,0.0,534,534,0.0106334610027261,0.0054242360019998,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0160576970047259,25,72,4000000007.0
1000000000,100,Rounded-direction,highs,True,kOptimal,True,True,0.0,534,534,0.0106334610027261,0.0040726199986238,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.014706081001349899,25,72,4000000007.0
1000000000,100,Rounded-direction,gurobi,True,2,True,True,0.0,534,534,0.0106334610027261,0.0018982340006914,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0125316950034175,25,72,4000000007.0
1000000000,100,Rational-direction,highs,False,kOptimal,True,True,0.0,534,534,0.0126950929989106,0.0134792710014153,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.026174364000325898,25,72,4000000007.0
1000000000,100,Rational-direction,gurobi,False,2,True,True,0.0,534,534,0.0126950929989106,0.0053819580025447,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.018077051001455298,25,72,4000000007.0
1000000000,100,Rational-direction,highs,True,kOptimal,True,True,0.0,534,534,0.0126950929989106,0.0041729600015969,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0168680530005075,25,72,4000000007.0
1000000000,100,Rational-direction,gurobi,True,2,True,True,0.0,534,534,0.0126950929989106,0.00188871499995,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.014583807998860599,25,72,4000000007.0
1000000000,101,Rounded-direction,highs,False,kOptimal,True,True,0.0,725,725,0.0095665540029585,0.014208304000931,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0237748580038895,25,72,4000000007.0
1000000000,101,Rounded-direction,gurobi,False,2,True,True,0.0,725,725,0.0095665540029585,0.0061429039997165,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.015709458002674998,25,72,4000000007.0
1000000000,101,Rounded-direction,highs,True,kOptimal,True,True,0.0,725,725,0.0095665540029585,0.0114927630020247,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0210593170049832,25,72,4000000007.0
1000000000,101,Rounded-direction,gurobi,True,2,True,True,0.0,725,725,0.0095665540029585,0.0028430409984139,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0124095950013724,25,72,4000000007.0
1000000000,101,Rational-direction,highs,False,kOptimal,True,True,0.0,725,725,0.0122210910012654,0.0151571259993943,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.027378217000659698,25,72,4000000007.0
1000000000,101,Rational-direction,gurobi,False,2,True,True,0.0,725,725,0.0122210910012654,0.0053549809999822,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.017576072001247597,25,72,4000000007.0
1000000000,101,Rational-direction,highs,True,kOptimal,True,True,0.0,725,725,0.0122210910012654,0.0099038089974783,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0221248999987437,25,72,4000000007.0
1000000000,101,Rational-direction,gurobi,True,2,True,True,0.0,725,725,0.0122210910012654,0.0028296370001044,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0150507280013698,25,72,4000000007.0
1000000000,102,Rounded-direction,highs,False,kOptimal,True,True,0.0,695,695,0.0109557700016011,0.0124630290010827,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0234187990026838,25,72,4000000007.0
1000000000,102,Rounded-direction,gurobi,False,2,True,True,0.0,695,695,0.0109557700016011,0.0048827290011104,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0158384990027115,25,72,4000000007.0
1000000000,102,Rounded-direction,highs,True,kOptimal,True,True,0.0,695,695,0.0109557700016011,0.0100156869993952,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0209714570009963,25,72,4000000007.0
