family,method,models,median_prep_seconds,q25_prep_seconds,q75_prep_seconds,min_prep_seconds,max_prep_seconds
original,Rounded-direction,12,0.01028689749909965,0.009679733749180724,0.010714038252444848,0.0095305610011564,0.0114780889998655
original,Rational-direction,12,0.0124962945010338,0.01209537399972755,0.01269605399920685,0.0116780470016237,0.012765285999194
multilevel,Base,12,1.5994992281775922e-06,1.5382493074866943e-06,1.6460026017739438e-06,1.0569965525064615e-06,1.724998583085835e-06
multilevel,GCD-floor,12,0.00538917350058905,0.0053608417520080755,0.005408418997831125,0.0053077910015417,0.0056017589995462
multilevel,Single-coefficient,12,0.00997812750028965,0.009948327997335499,0.0100953912506156,0.0099178430027677,0.0103753969997342
multilevel,Dyadic-GM,12,0.009257232000891149,0.009221314749083775,0.00936301249930685,0.0091213300001982,0.0117416699977184
multilevel,Rounded-direction,12,0.010331043000405701,0.001643708751544125,0.010946228001557725,0.0015135779976844,0.0113130949976039
multilevel,Rational-direction,12,0.0175158794972958,0.001554183500047625,0.018104302249412226,0.0015039399986562,0.0185410329977457
multilevel,Oracle-direction,12,0.006294067499766199,0.00626226224994745,0.0063437297503696,0.0062291230024129,0.0064840809973247
multilevel,Rounded-all,12,0.038355800999852294,0.00156798575153515,0.04059632049938947,0.0014948790012567,0.0421236260008299
