family,campaign,M,seed,method,posthoc_control,prep_seconds,source_variables,source_rows,rows,nnz,source_max_coefficient,max_coefficient
multilevel,multilevel-200,1000000,201,Base,False,1.6590020095463842e-06,80,25,25,319,115000362.0,115000362.0
multilevel,multilevel-200,1000000,201,GCD-floor,False,0.0053970529988873,80,25,25,319,115000362.0,115000362.0
multilevel,multilevel-200,1000000,201,Single-coefficient,False,0.0099489049971452,80,25,25,319,115000362.0,115000362.0
multilevel,multilevel-200,1000000,201,Dyadic-GM,False,0.0117416699977184,80,25,25,319,115000362.0,11230.505126953123
multilevel,multilevel-200,1000000,201,Rounded-direction,False,0.0113130949976039,80,25,25,319,115000362.0,115000362.0
multilevel,multilevel-200,1000000,201,Rational-direction,False,0.0172991360013838,80,25,25,319,115000362.0,397.0
multilevel,multilevel-200,1000000,201,Oracle-direction,False,0.0062517639998986,80,25,25,319,115000362.0,420.0
multilevel,multilevel-200,1000000,202,Base,False,1.6169979062397033e-06,80,25,25,320,115000360.0,115000360.0
multilevel,multilevel-200,1000000,202,GCD-floor,False,0.0053375499992398,80,25,25,320,115000360.0,115000360.0
multilevel,multilevel-200,1000000,202,Single-coefficient,False,0.0103032680017349,80,25,25,320,115000360.0,115000360.0
multilevel,multilevel-200,1000000,202,Dyadic-GM,False,0.0093216819986992,80,25,25,320,115000360.0,14038.1298828125
multilevel,multilevel-200,1000000,202,Rounded-direction,False,0.0099603019989444,80,25,25,320,115000360.0,115000360.0
multilevel,multilevel-200,1000000,202,Rational-direction,False,0.0176508169970475,80,25,25,319,115000360.0,322.0
multilevel,multilevel-200,1000000,202,Oracle-direction,False,0.0062291230024129,80,25,25,320,115000360.0,363.0
multilevel,multilevel-200,1000000,203,Base,False,1.5469995560124516e-06,80,25,25,320,115000367.0,115000367.0
multilevel,multilevel-200,1000000,203,GCD-floor,False,0.0053077910015417,80,25,25,320,115000367.0,115000367.0
multilevel,multilevel-200,1000000,203,Single-coefficient,False,0.0099369199997454,80,25,25,320,115000367.0,115000367.0
multilevel,multilevel-200,1000000,203,Dyadic-GM,False,0.0091213300001982,80,25,25,320,115000367.0,14038.129760742188
multilevel,multilevel-200,1000000,203,Rounded-direction,False,0.0103658439984428,80,25,25,320,115000367.0,115000367.0
multilevel,multilevel-200,1000000,203,Rational-direction,False,0.0173809419975441,80,25,25,319,115000367.0,441.0
multilevel,multilevel-200,1000000,203,Oracle-direction,False,0.0064840809973247,80,25,25,320,115000367.0,456.0
multilevel,multilevel-200,1000000000,200,Base,False,1.644002622924745e-06,80,25,25,320,115000000370.0,115000000370.0
multilevel,multilevel-200,1000000000,200,GCD-floor,False,0.0053778639994561,80,25,25,320,115000000370.0,115000000370.0
multilevel,multilevel-200,1000000000,200,Single-coefficient,False,0.0099178430027677,80,25,25,320,115000000370.0,115000000370.0
multilevel,multilevel-200,1000000000,200,Dyadic-GM,False,0.0095959970021795,80,25,25,320,115000000370.0,324249.2681465149
multilevel,multilevel-200,1000000000,200,Rounded-direction,False,0.010843666997971,80,25,25,320,115000000370.0,115000000370.0
multilevel,multilevel-200,1000000000,200,Rational-direction,False,0.0185410329977457,80,25,25,318,115000000370.0,311.0
multilevel,multilevel-200,1000000000,200,Oracle-direction,False,0.006265006999456,80,25,25,319,115000000370.0,435.0
multilevel,multilevel-200,1000000000,201,Base,False,1.5119985619094225e-06,80,25,25,319,115000000362.0,115000000362.0
multilevel,multilevel-200,1000000000,201,GCD-floor,False,0.0053668550026486,80,25,25,319,115000000362.0,115000000362.0
multilevel,multilevel-200,1000000000,201,Single-coefficient,False,0.00996657900032,80,25,25,319,115000000362.0,115000000362.0
multilevel,multilevel-200,1000000000,201,Dyadic-GM,False,0.009353387998999,80,25,25,319,115000000362.0,350952.1495742798
multilevel,multilevel-200,1000000000,201,Rounded-direction,False,0.0108862740016775,80,25,25,319,115000000362.0,115000000362.0
multilevel,multilevel-200,1000000000,201,Rational-direction,False,0.0182659790007164,80,25,25,319,115000000362.0,397.0
multilevel,multilevel-200,1000000000,201,Oracle-direction,False,0.0064618340002198,80,25,25,319,115000000362.0,420.0
multilevel,multilevel-200,1000000000,202,Base,False,1.5789992175996304e-06,80,25,25,320,115000000360.0,115000000360.0
multilevel,multilevel-200,1000000000,202,GCD-floor,False,0.0054138249979587,80,25,25,320,115000000360.0,115000000360.0
multilevel,multilevel-200,1000000000,202,Single-coefficient,False,0.0103753969997342,80,25,25,320,115000000360.0,115000000360.0
multilevel,multilevel-200,1000000000,202,Dyadic-GM,False,0.0093918860002304,80,25,25,320,115000000360.0,438690.186920166
multilevel,multilevel-200,1000000000,202,Rounded-direction,False,0.0112724579994392,80,25,25,320,115000000360.0,115000000360.0
multilevel,multilevel-200,1000000000,202,Rational-direction,False,0.0184525479999138,80,25,25,319,115000000360.0,322.0
multilevel,multilevel-200,1000000000,202,Oracle-direction,False,0.0062540280014218,80,25,25,320,115000000360.0,363.0
multilevel,multilevel-200,1000000000,203,Base,False,1.6520025383215398e-06,80,25,25,320,115000000367.0,115000000367.0
multilevel,multilevel-200,1000000000,203,GCD-floor,False,0.0053428020000865,80,25,25,320,115000000367.0,115000000367.0
multilevel,multilevel-200,1000000000,203,Single-coefficient,False,0.0099896760002593,80,25,25,320,115000000367.0,115000000367.0
multilevel,multilevel-200,1000000000,203,Dyadic-GM,False,0.0092258129989204,80,25,25,320,115000000367.0,438690.1869163513
multilevel,multilevel-200,1000000000,203,Rounded-direction,False,0.0111260900011984,80,25,25,320,115000000367.0,115000000367.0
multilevel,multilevel-200,1000000000,203,Rational-direction,False,0.0180504099989775,80,25,25,319,115000000367.0,441.0
multilevel,multilevel-200,1000000000,203,Oracle-direction,False,0.0062789500007056,80,25,25,320,115000000367.0,456.0
multilevel,rounded-all-200,1000000000,200,Rounded-all,True,0.0421236260008299,80,25,25,318,115000000370.0,311.0
multilevel,rounded-all-200,1000000000,201,Rounded-all,True,0.0415048799986834,80,25,25,319,115000000362.0,397.0
multilevel,rounded-all-200,1000000000,202,Rounded-all,True,0.0403688890000921,80,25,25,319,115000000360.0,322.0
multilevel,rounded-all-200,1000000000,203,Rounded-all,True,0.0412786149972816,80,25,25,319,115000000367.0,441.0
multilevel,rounded-all-200,1000000,200,Rounded-all,True,0.0389567499987606,80,25,25,318,115000370.0,311.0
multilevel,rounded-all-200,1000000,201,Rounded-all,True,0.0384123860021645,80,25,25,319,115000362.0,397.0
multilevel,rounded-all-200,1000000,202,Rounded-all,True,0.0379203839984256,80,25,25,319,115000360.0,322.0
multilevel,rounded-all-200,1000000,203,Rounded-all,True,0.0382992159975401,80,25,25,319,115000367.0,441.0
multilevel,rounded-all-200,1000,200,Rounded-all,True,0.0014948790012567,80,25,25,320,115370.0,115370.0
multilevel,rounded-all-200,1000,201,Rounded-all,True,0.0015110419990378,80,25,25,319,115362.0,115362.0
multilevel,rounded-all-200,1000,202,Rounded-all,True,0.0015869670023676,80,25,25,320,115360.0,115360.0
multilevel,rounded-all-200,1000,203,Rounded-all,True,0.0015002410000306,80,25,25,320,115367.0,115367.0
