class,instance,status,records,error
simple,caso46b.txt,complete,5,
simple,caso46c.txt,complete,5,
simple,caso46d.txt,complete,5,
simple,caso46e.txt,complete,5,
simple,caso46f.txt,complete,5,
simple,caso47a.txt,complete,5,
simple,caso47b.txt,complete,5,
simple,caso47c.txt,complete,5,
simple,caso47d.txt,complete,5,
simple,caso47e.txt,complete,5,
simple,caso47f.txt,complete,5,
simple,caso48a.txt,complete,5,
simple,caso48b.txt,complete,5,
simple,caso48c.txt,complete,5,
simple,caso48d.txt,complete,5,
simple,caso48e.txt,complete,5,
simple,caso48f.txt,complete,5,
full,instance001.txt,complete,5,
full,instance002.txt,complete,5,
full,instance003.txt,complete,5,
full,instance004.txt,complete,5,
full,instance005.txt,complete,5,
full,instance009.txt,complete,5,
full,instance010.txt,complete,5,
full,instance011.txt,complete,5,
full,instance012.txt,complete,5,
full,instance014.txt,complete,5,
full,instance019.txt,complete,5,
full,instance020.txt,complete,5,
full,instance021.txt,complete,5,
full,instance022.txt,complete,5,
full,instance023.txt,complete,5,
full,instance024.txt,complete,5,
full,instance025.txt,complete,5,
full,instance026.txt,complete,5,
full,instance027.txt,complete,5,
full,instance028.txt,complete,5,
full,instance029.txt,complete,5,
full,instance030.txt,complete,5,
full,instance031.txt,complete,5,
full,instance032.txt,complete,5,
full,instance033.txt,complete,5,
full,instance034.txt,complete,5,
full,instance035.txt,complete,5,
full,instance042.txt,complete,5,
full,instance043.txt,complete,5,
full,instance044.txt,complete,5,
full,instance045.txt,complete,5,
full,instance046.txt,complete,5,
full,instance047.txt,complete,5,
full,instance048.txt,complete,5,
sgtm,instance001.txt,complete,5,
sgtm,instance002.txt,complete,5,
sgtm,instance003.txt,complete,5,
sgtm,instance004.txt,complete,5,
sgtm,instance005.txt,complete,5,
sgtm,instance009.txt,complete,5,
sgtm,instance010.txt,complete,5,
sgtm,instance011.txt,complete,5,
sgtm,instance012.txt,complete,5,
sgtm,instance014.txt,complete,5,
sgtm,instance019.txt,complete,5,
sgtm,instance020.txt,complete,5,
sgtm,instance021.txt,complete,5,
sgtm,instance022.txt,complete,5,
sgtm,instance023.txt,complete,5,
sgtm,instance024.txt,complete,5,
sgtm,instance025.txt,complete,5,
sgtm,instance026.txt,complete,5,
sgtm,instance027.txt,complete,5,
sgtm,instance028.txt,complete,5,
sgtm,instance029.txt,complete,5,
sgtm,instance030.txt,complete,5,
sgtm,instance031.txt,complete,5,
sgtm,instance032.txt,complete,5,
sgtm,instance033.txt,complete,5,
sgtm,instance034.txt,complete,5,
sgtm,instance035.txt,complete,5,
sgtm,instance042.txt,complete,5,
sgtm,instance043.txt,complete,5,
sgtm,instance044.txt,complete,5,
sgtm,instance045.txt,complete,5,
sgtm,instance046.txt,complete,5,
sgtm,instance047.txt,complete,5,
sgtm,instance048.txt,complete,5,
