class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
full,instance003.txt,Base,23763,13971,9792,0.0,0.0,1.0,1.0,57555,3.487889097777487e+20,3.487889097777487e+20,3.487889097777487e+20,1.0,2.297087408135891e-09,ce43ab841cf6f403cb2259d828afaf4c404ca5de6752afd98b47bf39ae6e30cc,7e6d33bee76f67fde363da8286fcc6875678bc799daf79f4c041df0212b67b7f
full,instance003.txt,Flat-GM,23763,13971,9792,0.0,0.0,9.63029624593729e-06,59.348493520608216,57555,378394716522775.7,378394716522775.7,378394716522775.7,1.0,4.8633735099580133e-11,6a6d885f5bd3c5902ef99cadb03e7ee53fd5622153a27b8c889d51a011d92a94,5d68577d07f90da3d075ca2239968bce8ffadf2648cb168c6ffb5cb6682b7f7f
full,instance003.txt,Flat-L2,23763,13971,9792,0.0,0.0,0.00013888888620970514,1.0,57555,7.197403878590794e+20,7.197403878590794e+20,7.197403878590794e+20,1.0,2.706828124654783e-12,70e1ab5bfcf3241118396ea83785cb1b7feeb915228a2aa1b64aaf3d2b10b23d,bf64ef3636b6ce45eec0d00135b392892f6fecf3684c03f573ed46cdaa8c2342
full,instance003.txt,Role-Hybrid,23763,13971,9792,0.0,0.0,9.63029624593729e-06,59.348493520608216,57555,378394716522775.7,378394716522775.7,378394716522775.7,1.0,1.1520684480231322e-11,994f0d6cc0c123f7ecc9a36a77cf2adcf4b70b08afa6cbe64b9ce881a7b32071,76f58e9180b8fb363c7a0744422bd8321c21747ea98ae84c5d7470ce25a6ad12
full,instance003.txt,SA-Mat,23763,13971,9792,0.0,0.0,9.63029624593729e-06,59.348493520608216,57555,378394716522775.7,378394716522775.7,378394716522775.7,1.0,1.1520684480231322e-11,994f0d6cc0c123f7ecc9a36a77cf2adcf4b70b08afa6cbe64b9ce881a7b32071,76f58e9180b8fb363c7a0744422bd8321c21747ea98ae84c5d7470ce25a6ad12
