M,seed,method,solver,presolve,status,rounded_feasible,rounded_optimal,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,nodes,rows,nnz,max_coefficient,all_rows_gap_safe,max_exported_violation,x
1000000000,200,GCD-floor,gurobi,True,2,True,True,0.0,1335,1335,0.005377863999456167,0.005439260999992257,1.0,25,320,115000000370.0,False,0.0,"[-0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Single-coefficient,highs,False,kOptimal,True,False,0.0,1331,1335,0.009917843002767768,0.03185918999952264,1,25,320,115000000370.0,False,0.0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Single-coefficient,gurobi,False,2,True,True,0.0,1335,1335,0.009917843002767768,0.004863589998421958,1.0,25,320,115000000370.0,False,0.0,"[-0.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 1.0, -0.0, 1.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 1.0, 1.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, -0.0, -0.0]"
1000000000,200,Single-coefficient,highs,True,kOptimal,False,False,1.5454545421178523e-09,1330,1335,0.009917843002767768,0.0251493309988291,1,25,320,115000000370.0,False,0.0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999984545455, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Single-coefficient,gurobi,True,2,True,True,0.0,1335,1335,0.009917843002767768,0.0055212980005308054,1.0,25,320,115000000370.0,False,0.0,"[-0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, -0.0, 1.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Dyadic-GM,highs,False,kOptimal,False,False,1.4999997910436491e-09,1336,1335,0.009595997002179502,0.023936403998959577,1,25,320,324249.2681465149,,4.44365594625521e-12,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0000000001004898, 1.0, 0.9999999995980392, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0000000005024507, 0.9999999985000002, 0.0, 1.0, 0.0, 0.0, 0.9999999993419098, 0.0, 0.0, 0.9999999993419098, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.9999999987934782, 0.0, 0.0, 0.0, 1.0, 1.0, 1.2065217713796983e-09, 1.0, 1.2065217713796983e-09, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0941258325955243e-09, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Dyadic-GM,gurobi,False,2,False,False,1.2058823939398167e-09,1336,1335,0.009595997002179502,0.004259299999830546,1.0,25,320,324249.2681465149,,1.6152625903487206e-09,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.2058822829175142e-09, -0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999987941176, 0.0, 0.0, 1.0, -0.0, 0.0, 1.0, 0.0, -0.0, 1.0, 1.0, 1.0, -0.0, 0.0, -0.0, 1.0, 0.0, -0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Dyadic-GM,highs,True,kOptimal,False,False,2.4130434684513232e-09,1336,1335,0.009595997002179502,0.02233578500090516,1,25,320,324249.2681465149,,0.0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999999995980491, 1.0, 1.0, 0.0, 0.0, -4.0196082101519805e-10, 0.0, 0.0, 1.00000000000001, 1.0, 0.0, 1.0, 0.0, 0.0, 0.9999999994999881, 0.0, 0.0, 0.9999999994999881, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, -2.4130434684513232e-09, 0.0, 1.0, 1.0, -0.0, 1.0, -0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.328594789740123e-09, 1.0, -0.0, 1.0, 0.0, 0.0]"
1000000000,200,Dyadic-GM,gurobi,True,2,False,False,1.2058669618397744e-09,1336,1335,0.009595997002179502,0.0050367799995001405,1.0,25,320,324249.2681465149,,1.6152625903487206e-09,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, -0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.999999998794133, 0.0, 0.0, 1.0, -0.0, 0.0, 1.0, 0.0, -0.0, 1.0, 1.0, 1.0, -0.0, 0.0, -0.0, 1.0, 0.0, -0.0, 0.0, 0.0, 1.0, -0.0, 1.0, 0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1000000000,200,Rounded-direction,highs,False,kOptimal,True,True,1.9608018917148437e-11,1335,1335,0.010843666997971013,0.0253335560009873,1,25,320,115000000370.0,False,0.0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0000000000196079, 0.0, 0.0, 0.0, 0.0, 0.0, -1.9608018917148437e-11, 1.0, 0.0, 1.0, 0.0, 0.0, 2.3068214005661507e-12, 2.3068214005661507e-12, 0.0, 2.3068214005661507e-12, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
