class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso27c.txt,Base,14400,9142,5258,0.0,0.0,1.0,1.0,35590,8.6610853777366e+18,8.6610853777366e+18,8.6610853777366e+18,1.0,6.081055652706316e-10,ec5656e47b41f79af4a374c7e102c7ba0869e7901ef547533e74b5845649e67f,2125c411acbef536e877f23450c44b4a6ecfe87876f0002512d6f7ba2cb7a7f8
simple,caso27c.txt,Flat-GM,14400,9142,5258,1.396601859695279e-16,1.807623702820242e-16,2.425982584439956e-05,21.658236760423105,35590,846037959506.2394,846037959506.2394,840958844335.9349,1.0060396715065352,7.630824832779537e-13,d996326a02de569516c557003f3feeb57b8c39e293c0e6a55c3f7ca93102c86d,8a93c25e02f6ca791be3e54c43d2fb97789194455564a3fd99f9b400fd0279e9
simple,caso27c.txt,Flat-L2,14400,9142,5258,0.0,0.0,7.070143493927802e-08,1.0,35590,1.7072454251852362e+19,1.7072454251852362e+19,1.7072454251852362e+19,1.0,5.119028426963464e-13,e5ee00ddc6a5da957369ca9dff122629f8f476b4df8dd6b317d273ec9c7bb881,5f7a376dc230d6d021ab9aa287dccc5a2791068af7d6c9f065dfe9e71f7e6815
simple,caso27c.txt,Role-Hybrid,14400,9142,5258,1.396601859695279e-16,1.807623702820242e-16,2.425982584439956e-05,21.658236760423105,35590,846037959506.2394,846037959506.2394,840958844335.9349,1.0060396715065352,7.630824832779537e-13,d996326a02de569516c557003f3feeb57b8c39e293c0e6a55c3f7ca93102c86d,8a93c25e02f6ca791be3e54c43d2fb97789194455564a3fd99f9b400fd0279e9
simple,caso27c.txt,SA-Mat,14400,9142,5258,1.396601859695279e-16,1.807623702820242e-16,2.425982584439956e-05,21.658236760423105,35590,846037959506.2394,846037959506.2394,840958844335.9349,1.0060396715065352,7.630824832779537e-13,d996326a02de569516c557003f3feeb57b8c39e293c0e6a55c3f7ca93102c86d,8a93c25e02f6ca791be3e54c43d2fb97789194455564a3fd99f9b400fd0279e9
