instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
coupling_uniform_S6_seed20260912,Role-Hybrid,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+09,3.57147e+06,0.000602925,0.224183,0.000145838,0,0.000574862,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260912,SA-Mat-permB,20260912,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,4.27558e+09,3.57147e+06,0.000602925,0.224183,0.000157576,0,0.000580037,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Base,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,5.51596e+11,5.51596e+11,451358,451358,0,0,0.000427238,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,SA-Mat,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,5.51596e+11,2.85593e+06,451358,0.214353,0.000155237,0,0.000580985,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Flat-GM,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,5.51596e+11,566729,451358,0,7.0238e-05,0,0.000468774,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Flat-L2,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,5.51596e+11,1.41913e+06,451358,0,6.5595e-05,0,0.000455942,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,Role-Hybrid,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,5.51596e+11,2.85593e+06,451358,0.214353,0.000146003,0,0.000586435,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260913,SA-Mat-permB,20260913,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,5.51596e+11,2.85593e+06,451358,0.214353,0.000184139,0,0.000643668,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Base,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+08,3.09037e+08,0.0103618,0.0103618,0,0,0.000466639,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,SA-Mat,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+08,3.59932e+06,0.0103618,0.323308,0.000173336,0,0.000680323,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Flat-GM,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+08,465786,0.0103618,0,8.7129e-05,0,0.000580873,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Flat-L2,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+08,1.85417e+06,0.0103618,0,8.7841e-05,0,0.000605625,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,Role-Hybrid,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+08,3.59932e+06,0.0103618,0.323308,0.000177969,0,0.000687335,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260914,SA-Mat-permB,20260914,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,3.09037e+08,3.59932e+06,0.0103618,0.323308,0.000174007,0,0.000661754,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Base,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+10,1.24487e+10,0.00024864,0.00024864,0,0,0.000449948,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,SA-Mat,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+10,4.55832e+06,0.00024864,0.196046,0.000153802,0,0.000612904,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Flat-GM,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+10,720293,0.00024864,0,6.8456e-05,0,0.000469928,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Flat-L2,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+10,1.98935e+06,0.00024864,0,6.6462e-05,0,0.000459156,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,Role-Hybrid,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+10,4.55832e+06,0.00024864,0.196046,0.000141829,0,0.000560834,NA,NA,NA,NA,NA,NA
coupling_uniform_S6_seed20260915,SA-Mat-permB,20260915,coupling_uniform,6,block_heterogeneous,lp-export,43,38,8,1.24487e+10,4.55832e+06,0.00024864,0.196046,0.000153556,0,0.000569015,NA,NA,NA,NA,NA,NA
