class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso01e.txt,Base,14400,9270,5130,0.0,0.0,1.0,1.0,35590,5.738499378617778e+18,5.738499378617778e+18,5.738499378617778e+18,1.0,4.8840246070323625e-09,6df14c440d846f501205d00f30dbbdf85b93c031a17ad91bc3a93175c14cdc34,cb36044da3e119c0b013dda8752f105890c1a06b325243fd7f22f3e40531aeb9
simple,caso01e.txt,Flat-GM,14400,9270,5130,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1624753058857.3179,1624753058857.3179,1624753058857.3179,1.0,4.0013954779084326e-12,c85c60bbd21a4d353efa2e715e8f76bc017135560ff08faad54a7d81f4c11c4e,a35aeed10ee68bc21be0f2740165a0a343e76929ace11b6d79e3ffdaf5421445
simple,caso01e.txt,Flat-L2,14400,9270,5130,1.7671712174576017e-16,0.0,7.070396063946573e-08,1.0,35590,1.3701127836344717e+19,1.3701127836344717e+19,1.3701127836344717e+19,1.0,3.0090063736263283e-12,46163dac6aad4385a63b94ef9a21730622a09367aa1f0a7c2d2af801117b8862,5e67208db8212e50494f2ef1a9bc65c8c7c50192e259e51f7674ae1389533179
simple,caso01e.txt,Role-Hybrid,14400,9270,5130,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1624753058857.3179,1624753058857.3179,1624753058857.3179,1.0,4.0013954779084326e-12,c85c60bbd21a4d353efa2e715e8f76bc017135560ff08faad54a7d81f4c11c4e,a35aeed10ee68bc21be0f2740165a0a343e76929ace11b6d79e3ffdaf5421445
simple,caso01e.txt,SA-Mat,14400,9270,5130,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,1624753058857.3179,1624753058857.3179,1624753058857.3179,1.0,4.0013954779084326e-12,c85c60bbd21a4d353efa2e715e8f76bc017135560ff08faad54a7d81f4c11c4e,a35aeed10ee68bc21be0f2740165a0a343e76929ace11b6d79e3ffdaf5421445
