class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso10e.txt,Base,14400,9145,5255,0.0,0.0,1.0,1.0,35590,5.702361880070498e+18,5.702361880070498e+18,5.702361880070498e+18,1.0,1.7701724575673748e-09,70f6bb7179ad4bb38e2129cd074092d9b49fd48981389370e55a91d628c05332,6f7906c279abd2af1c538270a44075823e251b491f3d6058978e31eb5d199900
simple,caso10e.txt,Flat-GM,14400,9145,5255,1.3565730168659454e-16,0.0,2.6931917668360097e-05,28.014000486604534,35590,114215687915823.66,114215687915823.66,114215687915823.66,1.0,1.1927480404248452e-11,33fb1d8b4aca345e0ec1cfec9739c39c0cb309ba569e460e5172dfa046b2cec9,e5a6693d2e41337d3361af1cac883c40374800133853c8141268dcc625fc3e9d
simple,caso10e.txt,Flat-L2,14400,9145,5255,0.0,0.0,1.5504826782124428e-09,1.0,35590,1.5273260026917073e+19,1.5273260026917073e+19,1.5273260026917073e+19,1.0,4.14958850952769e-12,88ac6a93004fb12a3accae0c7cd1ddd0dcc04fc57a72a879256d23b9eefdc26a,167c5ff9fd91bc5495851591f96168c4dcac842f81ed525a52ed8062314c434d
simple,caso10e.txt,Role-Hybrid,14400,9145,5255,1.3565730168659454e-16,0.0,2.6931917668360097e-05,28.014000486604534,35590,114215687915823.66,114215687915823.66,114215687915823.66,1.0,1.1927480404248452e-11,33fb1d8b4aca345e0ec1cfec9739c39c0cb309ba569e460e5172dfa046b2cec9,e5a6693d2e41337d3361af1cac883c40374800133853c8141268dcc625fc3e9d
simple,caso10e.txt,SA-Mat,14400,9145,5255,1.3565730168659454e-16,0.0,2.6931917668360097e-05,28.014000486604534,35590,114215687915823.66,114215687915823.66,114215687915823.66,1.0,1.1927480404248452e-11,33fb1d8b4aca345e0ec1cfec9739c39c0cb309ba569e460e5172dfa046b2cec9,e5a6693d2e41337d3361af1cac883c40374800133853c8141268dcc625fc3e9d
