cell,numerator,denominator,endpoint,n,estimate,ci_low,ci_high,rounding_bound_low,rounding_bound_high
gurobi_sgtm_01pct,matricial_plano,base,ratio_mean_PAR10_seconds,15,9.071335945832189,0.46634280092250086,10.378234259496844,,
gurobi_sgtm_01pct,matricial_plano,base,geomean_work_ratio_common_completed,14,0.6824572103825568,0.46989297819741604,0.9245166162000955,0.6747865009138497,0.6902016861186175
gurobi_sgtm_01pct,matricial_plano_l2,base,ratio_mean_PAR10_seconds,15,9.069871296844365,0.5931609036879865,10.36982246127761,,
gurobi_sgtm_01pct,matricial_plano_l2,base,geomean_work_ratio_common_completed,14,0.8016987676747246,0.6487146207929109,0.9799028021995924,0.7929305342721946,0.8105534878592057
gurobi_sgtm_01pct,matricial_plano_l2,matricial_plano,ratio_mean_PAR10_seconds,15,0.9998385409826546,0.7886574527106877,1.3321494290675053,,
gurobi_sgtm_01pct,matricial_plano_l2,matricial_plano,geomean_work_ratio_common_completed,14,1.1747238588413857,0.9384985523363075,1.5233483234172795,1.1610034997462702,1.1886141339863652
gurobi_sgtm_01pct,role_hybrid,base,ratio_mean_PAR10_seconds,15,9.076277146915194,0.48631135830359984,10.364152686871686,,
gurobi_sgtm_01pct,role_hybrid,base,geomean_work_ratio_common_completed,14,0.7258100088414401,0.4759529945376448,1.0048993592509707,0.7180974881099453,0.7336057091973373
gurobi_sgtm_01pct,role_hybrid,matricial_plano,ratio_mean_PAR10_seconds,15,1.0005447048938005,0.9581426162571816,1.1416751635238793,,
gurobi_sgtm_01pct,role_hybrid,matricial_plano,geomean_work_ratio_common_completed,14,1.0635245665212938,0.9655112774327362,1.1717982733370824,1.051433462100045,1.075776155165357
gurobi_sgtm_1pct,matricial_plano,base,ratio_mean_PAR10_seconds,15,10.473436915735526,0.510132840497162,12.142102221857366,,
gurobi_sgtm_1pct,matricial_plano,base,geomean_work_ratio_common_completed,14,0.6984131298363208,0.48561274699435053,0.9443383185659513,0.6901860959780459,0.7067208644090305
gurobi_sgtm_1pct,matricial_plano_l2,base,ratio_mean_PAR10_seconds,15,10.482769944475738,0.7018224581185154,12.141066780552494,,
gurobi_sgtm_1pct,matricial_plano_l2,base,geomean_work_ratio_common_completed,14,0.8629114946564918,0.721374122738183,1.030155472570629,0.8530156395137979,0.8729038500392674
gurobi_sgtm_1pct,matricial_plano_l2,matricial_plano,ratio_mean_PAR10_seconds,15,1.0008911142364536,0.8507246172372608,1.4643733430999077,,
gurobi_sgtm_1pct,matricial_plano_l2,matricial_plano,geomean_work_ratio_common_completed,14,1.2355316041362547,0.9563410398740442,1.6485967450423507,1.220353777569261,1.2509027111064557
gurobi_sgtm_1pct,role_hybrid,base,ratio_mean_PAR10_seconds,15,10.480523030188424,0.5194829559598063,12.139302126792149,,
gurobi_sgtm_1pct,role_hybrid,base,geomean_work_ratio_common_completed,14,0.7444688749784332,0.48718323049484247,1.0359867477590412,0.736202194110597,0.7528283103015375
gurobi_sgtm_1pct,role_hybrid,matricial_plano,ratio_mean_PAR10_seconds,15,1.0006765796662462,0.9453360397243723,1.153860726831974,,
gurobi_sgtm_1pct,role_hybrid,matricial_plano,geomean_work_ratio_common_completed,14,1.065943412537084,0.9713362461824734,1.1763198114491515,1.0532364085958976,1.0788301303878114
gurobi_simple_01pct,matricial_plano,base,ratio_mean_PAR10_seconds,15,1.4034562626056875,0.6865702670832748,1.6554487021885849,,
gurobi_simple_01pct,matricial_plano,base,geomean_work_ratio_common_completed,15,1.0631084725943256,0.8893823739349674,1.247206284312302,1.0592507918120728,1.0669810052598023
gurobi_simple_01pct,matricial_plano_l2,base,ratio_mean_PAR10_seconds,15,0.6378741708407959,0.4092714395023056,2.3697117447410827,,
gurobi_simple_01pct,matricial_plano_l2,base,geomean_work_ratio_common_completed,15,1.385353276568855,0.9031102279783165,2.3311429937104378,1.3805586253899271,1.3901656265386724
gurobi_simple_01pct,matricial_plano_l2,matricial_plano,ratio_mean_PAR10_seconds,15,0.45450235097209574,0.24964502342758302,2.367516854092601,,
gurobi_simple_01pct,matricial_plano_l2,matricial_plano,geomean_work_ratio_common_completed,15,1.303115638979105,0.8108272084709026,2.2104347132003976,1.2987596015000544,1.307486287867087
gurobi_simple_01pct,role_hybrid,base,ratio_mean_PAR10_seconds,15,1.396625229857772,0.6770886373590796,1.6471066219531,,
gurobi_simple_01pct,role_hybrid,base,geomean_work_ratio_common_completed,15,1.0631084725943256,0.8944996364781282,1.2449110924534432,1.0592507918120728,1.0669810052598023
gurobi_simple_01pct,role_hybrid,matricial_plano,ratio_mean_PAR10_seconds,15,0.9951327070675984,0.9709895336180034,1.0161218569728887,,
gurobi_simple_01pct,role_hybrid,matricial_plano,geomean_work_ratio_common_completed,15,1.0,1.0,1.0,0.9964894724220107,1.0035228947973298
gurobi_simple_1pct,matricial_plano,base,ratio_mean_PAR10_seconds,15,0.17786088668651168,0.07910001889867163,1.0417581466841888,,
gurobi_simple_1pct,matricial_plano,base,geomean_work_ratio_common_completed,15,0.6307726212432629,0.3116997041216061,1.032447370647483,0.627178985512761,0.6343864707139956
gurobi_simple_1pct,matricial_plano_l2,base,ratio_mean_PAR10_seconds,15,1.7174761398726186,1.0586920107197737,6.968100920089723,,
gurobi_simple_1pct,matricial_plano_l2,base,geomean_work_ratio_common_completed,15,1.7916868853453582,1.0333204381039525,3.54208098825052,1.7828073182655457,1.8006138837667156
gurobi_simple_1pct,matricial_plano_l2,matricial_plano,ratio_mean_PAR10_seconds,15,9.656289091259016,3.0652612913745854,17.078539263386098,,
gurobi_simple_1pct,matricial_plano_l2,matricial_plano,geomean_work_ratio_common_completed,15,2.840463940578008,1.3289965430716808,6.543514585267589,2.8255987184861695,2.855414147949503
gurobi_simple_1pct,role_hybrid,base,ratio_mean_PAR10_seconds,15,0.1774286203179243,0.07803655926021137,1.0416123495275305,,
