class,mipgap_percent,assigned_per_variant,base_par10_seconds,base_completed,matricial_plano_par10_seconds,matricial_plano_completed,matricial_plano_l2_par10_seconds,matricial_plano_l2_completed,role_hybrid_par10_seconds,role_hybrid_completed
Simple,1,15,11.902769620533336,15,2.1170371587333334,15,20.442722821666667,15,2.111891991733333,15
Simple,0.1,15,52.003119553933324,15,72.984103813,15,33.1714467666,15,72.62886880033332,15
SG-Ter-Mer,1,15,116.1521410082,15,1216.5121214770002,14,1217.5961727472668,14,1217.3351888421334,14
SG-Ter-Mer,0.1,15,134.0754739866,15,1216.2436666291333,14,1216.0472931218667,14,1216.9061605064,14
