cell,instance,variant,status_solver,completed,solver_seconds,par10_seconds,work_recorded,work_native_log,work_native_resolution,work_rounding_mismatch,nodes,max_absolute_row_residual,max_rhs_normalized_residual,max_activity_normalized_residual,verification_available,absolute_1e6_pass,activity_1e8_pass,activity_1e6_pass,log
gurobi_sgtm_01pct,instance031.txt,base,OPTIMAL,True,0.316678101,0.316678101,0.319442,0.32,0.01,False,1.0,2.38418579101562e-07,1.56319401867222e-13,1.22892611530835e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance031_base.log
gurobi_sgtm_01pct,instance031.txt,matricial_plano,OPTIMAL,True,0.261845052,0.261845052,0.0,0.26,0.01,True,1.0,6.38887286186218e-07,1.4477308241112e-13,2.10745151309015e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance031_matricial_plano.log
gurobi_sgtm_01pct,instance031.txt,matricial_plano_l2,OPTIMAL,True,0.328300974,0.328300974,0.0,0.33,0.01,True,1.0,5.96046447753906e-07,1.56319401867222e-13,1.84001997787526e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance031_matricial_plano_l2.log
gurobi_sgtm_01pct,instance031.txt,role_hybrid,OPTIMAL,True,0.305754965,0.305754965,0.0,0.33,0.01,True,1.0,5.66244125366211e-07,3.09086090055644e-13,2.23515098997383e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance031_role_hybrid.log
gurobi_sgtm_01pct,instance042.txt,base,OPTIMAL,True,0.366894149,0.366894149,0.333497,0.33,0.01,False,1.0,2.38418579101562e-07,4.2277292777726e-13,1.93672545972504e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance042_base.log
gurobi_sgtm_01pct,instance042.txt,matricial_plano,OPTIMAL,True,0.331329963,0.331329963,0.0,0.34,0.01,True,1.0,6.63101673126221e-07,3.69482222595252e-13,1.72333126210472e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance042_matricial_plano.log
gurobi_sgtm_01pct,instance042.txt,matricial_plano_l2,OPTIMAL,True,0.32279199,0.32279199,0.0,0.35,0.01,True,1.0,6.48200511932373e-07,5.29354338141275e-13,2.91640675125414e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance042_matricial_plano_l2.log
gurobi_sgtm_01pct,instance042.txt,role_hybrid,OPTIMAL,True,0.328147226,0.328147226,0.0,0.33,0.01,True,1.0,5.66244125366211e-07,3.69482222595252e-13,1.72333126210472e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance042_role_hybrid.log
gurobi_sgtm_01pct,instance046.txt,base,OPTIMAL,True,77.733537731,77.733537731,75.047776,75.05,0.01,False,43466.0,2.34693288803101e-07,2.27373675443232e-13,1.01243135924367e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance046_base.log
gurobi_sgtm_01pct,instance046.txt,matricial_plano,OPTIMAL,True,17.677307586,17.677307586,15.0,14.81,0.01,True,2968.0,6.50063157081604e-07,2.70006239588838e-13,2.24484655528603e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance046_matricial_plano.log
gurobi_sgtm_01pct,instance046.txt,matricial_plano_l2,OPTIMAL,True,32.085279289,32.085279289,32.0,31.77,0.01,True,32696.0,4.91738319396973e-07,3.69482222595252e-13,2.59717768552693e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance046_matricial_plano_l2.log
gurobi_sgtm_01pct,instance046.txt,role_hybrid,OPTIMAL,True,18.594252762,18.594252762,14.0,13.71,0.01,True,2772.0,6.50063157081604e-07,2.70006239588838e-13,1.85165224176237e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance046_role_hybrid.log
gurobi_sgtm_01pct,instance051.txt,base,OPTIMAL,True,43.096561227,43.096561227,36.211317,36.21,0.01,False,15056.0,5.58793544769287e-08,3.97903932025656e-13,1.9353189118549e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance051_base.log
gurobi_sgtm_01pct,instance051.txt,matricial_plano,OPTIMAL,True,41.811896972,41.811896972,35.0,35.25,0.01,True,10758.0,1.19209289550781e-07,5.54223333892878e-13,4.74206962113828e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance051_matricial_plano.log
gurobi_sgtm_01pct,instance051.txt,matricial_plano_l2,OPTIMAL,True,37.252993105,37.252993105,37.0,37.07,0.01,True,12406.0,1.19209289550781e-07,6.53699316899292e-13,1.62872079889156e-14,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance051_matricial_plano_l2.log
