row_family,rows,unit,declared_budget,median_gm_factor,admissible_lower_max,admissible_upper_min,gm_admissible_rows,median_original_residual_under_gm,max_original_residual_under_gm,margin_factor
a1_gen_rio_negro,360,MW,0.1,1.0,9.999999999999999e-06,1000000000.0,360,1e-06,1e-06,100000.00000000001
a1_palmar_tangente_1,360,MW,0.1,1.9873735842757292,9.999999999999999e-06,1000000000.0,360,5.03176658838623e-07,5.03176658838623e-07,198737.35842757294
a1_palmar_tangente_2,360,MW,0.1,2.1364803644989134,9.999999999999999e-06,1000000000.0,360,4.680595322178579e-07,4.680595322178579e-07,213648.03644989137
a1_palmar_tangente_3,360,MW,0.1,2.325124328878231,9.999999999999999e-06,1000000000.0,360,4.3008452820346834e-07,4.3008452820346834e-07,232512.43288782312
a1_v1h_din,360,m3,1000.0,0.01666666666666667,1e-09,277777.77777777775,360,5.999999999999999e-05,5.999999999999999e-05,16666666.66666667
a1_v2h_din,360,m3,1000.0,0.00027777777777777794,1e-09,277777.77777777775,360,0.0035999999999999977,0.0035999999999999977,277777.7777777779
a1_v3h_din,360,m3,1000.0,0.01666666666666667,1e-09,277777.77777777775,360,5.999999999999999e-05,5.999999999999999e-05,16666666.66666667
gen_menor_demanda,360,MW,0.1,1.0,9.999999999999999e-06,1000000000.0,360,1e-06,1e-06,100000.00000000001
gh_total,360,MW,0.1,1.0,9.999999999999999e-06,1000000000.0,360,1e-06,1e-06,100000.00000000001
