class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso29f.txt,Base,14400,9137,5263,0.0,0.0,1.0,1.0,35590,9.395469593824123e+18,9.395469593824123e+18,9.395469593824123e+18,1.0,1.7701724575673748e-09,9a76bd5f38db185786f40388de6d1e61de69a481c690933f249754d7b72558d9,a14feee8e34c969a35f8111da96995b362aadab335df5136cc9df03e294b7ab9
simple,caso29f.txt,Flat-GM,14400,9137,5263,0.0,0.0,2.3771205492382218e-05,21.98325728229227,35590,943728343807.0792,943728343807.0792,943728343807.0792,1.0,1.0911562077885438e-12,95a1c7154f3b5b472c6f98c84021e00f63d111a226a01ec6400aa82f6dd7f8ff,c4860140efcad568fbdb5ad18d9c73526bc13cba588870880d7906869f8e7b82
simple,caso29f.txt,Flat-L2,14400,9137,5263,0.0,0.0,0.00013888888620970514,1.0,35590,1.3003202891721929e+19,1.3003202891721929e+19,1.3003202891721929e+19,1.0,1.2729190108152139e-12,061c09eba915c39d58c0c2352a2d55a892b9822f850a4f5425a8078c7aff4cf9,7793a4d28150b672781e123b856cb4647a4bc9b11cb5c787e2a03eaaf8951068
simple,caso29f.txt,Role-Hybrid,14400,9137,5263,0.0,0.0,2.3771205492382218e-05,21.98325728229227,35590,943728343807.0792,943728343807.0792,943728343807.0792,1.0,1.0911562077885438e-12,95a1c7154f3b5b472c6f98c84021e00f63d111a226a01ec6400aa82f6dd7f8ff,c4860140efcad568fbdb5ad18d9c73526bc13cba588870880d7906869f8e7b82
simple,caso29f.txt,SA-Mat,14400,9137,5263,0.0,0.0,2.3771205492382218e-05,21.98325728229227,35590,943728343807.0792,943728343807.0792,943728343807.0792,1.0,1.0911562077885438e-12,95a1c7154f3b5b472c6f98c84021e00f63d111a226a01ec6400aa82f6dd7f8ff,c4860140efcad568fbdb5ad18d9c73526bc13cba588870880d7906869f8e7b82
