M,seed,method,presolve,solver,status,rounded_optimal,rounded_optimal_within_eta,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,exported_rows,nnz,max_exported_violation,x
1000000000000,51,Pair-sum,False,gurobi,2,False,False,0.0,363.0,298,0.10182330600036948,0.002801937999720394,19,144,2.2737367544323206e-13,"[-0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 1.0, -0.0, 0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0]"
1000000000000,51,Pair-sum,True,highs,kOptimal,False,False,0.0,363.0,298,0.10182330600036948,0.006188054000631382,19,144,2.2737367544323206e-13,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,Pair-sum,True,gurobi,2,False,False,0.0,363.0,298,0.10182330600036948,0.0012885959995401208,19,144,2.2737367544323206e-13,"[-0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,All-elimination,False,highs,ABSTAIN,False,False,,,298,0.018755463999696076,0.0,,,,null
1000000000000,51,All-elimination,False,gurobi,ABSTAIN,False,False,,,298,0.018755463999696076,0.0,,,,null
1000000000000,51,All-elimination,True,highs,ABSTAIN,False,False,,,298,0.018755463999696076,0.0,,,,null
1000000000000,51,All-elimination,True,gurobi,ABSTAIN,False,False,,,298,0.018755463999696076,0.0,,,,null
1000000000000,51,Selected-guards,False,highs,ABSTAIN,False,False,,,298,0.018684637000660587,0.0,,,,null
1000000000000,51,Selected-guards,False,gurobi,ABSTAIN,False,False,,,298,0.018684637000660587,0.0,,,,null
1000000000000,51,Selected-guards,True,highs,ABSTAIN,False,False,,,298,0.018684637000660587,0.0,,,,null
1000000000000,51,Selected-guards,True,gurobi,ABSTAIN,False,False,,,298,0.018684637000660587,0.0,,,,null
