class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
sgtm,instance009.txt,Base,10080,5137,4943,0.0,0.0,1.0,1.0,22679,2.6339693009274942e+20,2.6339693009274942e+20,2.6339693009274942e+20,1.0,2.2549995237910872e-14,1f2ef0d18c67a29872ffbd1c2c673aa60caf8d312a9f841cb4b3b55332a676b7,96e837ba8f4be8d8bc00c6e813481c7f149c6b64fbef25f3753c33ae91c7f195
sgtm,instance009.txt,Flat-GM,10080,5137,4943,0.0,0.0,9.334795801652648e-06,38.22194954468507,22679,1726671568697.5632,1726671568697.5632,1726671568697.5632,1.0,3.3000205311527654e-15,695081c1940601b58112842b6d0ad526d9cf78db94f9846ea249fc392116c04d,d3b28e2e795ecbee35a10eba2a4713002ecaf4c6f7f504ec7230b824afd17491
sgtm,instance009.txt,Flat-L2,10080,5137,4943,0.0,0.0,0.00019641854275172078,1.0,22679,3.9748093504122e+20,3.9748093504122e+20,3.9748093504122e+20,1.0,2.835176504313611e-14,7e69168f4085e8a4dc18a362e75d272c67efd289d69504aac41fdea8e3ed58a7,9d54c898b84af486cc8b2508977fe43fbf000acd1d8ac87fd81d508fb645a8d8
sgtm,instance009.txt,Role-Hybrid,10080,5137,4943,0.0,0.0,9.334795801652648e-06,38.22194954468507,22679,1726671568697.5632,1726671568697.5632,1726671568697.5632,1.0,3.432486959859535e-14,409fcfd54d18223661b537ab845d8bf44f7e765f5429a74d3c08963d16437634,063de43b7324b0249508709936a54795373d79c8c8299294ab8d199cd2cc7152
sgtm,instance009.txt,SA-Mat,10080,5137,4943,0.0,0.0,9.334795801652648e-06,38.22194954468507,22679,1726671568697.5632,1726671568697.5632,1726671568697.5632,1.0,3.432486959859535e-14,409fcfd54d18223661b537ab845d8bf44f7e765f5429a74d3c08963d16437634,063de43b7324b0249508709936a54795373d79c8c8299294ab8d199cd2cc7152
