model_id,family,seed,exponent,method,presolve,solver,status,rounded_optimal,rounded_exact_feasible,max_integrality_error,solver_seconds,nodes,x,exported_A,exported_b
cardinality_s100_e6,cardinality,100,6,GCD-floor-GM,False,cplex,integer optimal solution,True,True,0.0,0.004724166999949375,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.0, -0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.0]
cardinality_s100_e6,cardinality,100,6,GCD-floor-GM,True,cplex,integer optimal solution,True,True,0.0,0.0049711500005287235,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.0]
cardinality_s100_e6,cardinality,100,6,GCD-midgap-GM,False,cplex,integer optimal solution,True,True,0.0,0.005586651000157872,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.5]
cardinality_s100_e6,cardinality,100,6,GCD-midgap-GM,True,cplex,integer optimal solution,True,True,0.0,0.005023378999794659,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.5]
cardinality_s100_e9,cardinality,100,9,GCD-floor,False,cplex,integer optimal solution,True,True,0.0,0.00437223599965364,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.0, -0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.0]
cardinality_s100_e9,cardinality,100,9,GCD-floor,True,cplex,integer optimal solution,True,True,0.0,0.0032707520003896207,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.0]
cardinality_s100_e9,cardinality,100,9,GCD-floor-GM,False,cplex,integer optimal solution,True,True,0.0,0.0026230899993606727,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 0.0, -0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.0]
cardinality_s100_e9,cardinality,100,9,GCD-floor-GM,True,cplex,integer optimal solution,True,True,0.0,0.002903909999986354,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.0]
cardinality_s100_e9,cardinality,100,9,GCD-midgap-GM,False,cplex,integer optimal solution,True,True,0.0,0.0038227750001169625,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.5]
cardinality_s100_e9,cardinality,100,9,GCD-midgap-GM,True,cplex,integer optimal solution,True,True,0.0,0.002960748999612406,0,"[-0.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, -0.0, 0.0]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]]",[5.5]
