class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso05e.txt,Base,14400,9237,5163,0.0,0.0,1.0,1.0,35590,9.972453476544115e+18,9.972453476544115e+18,9.972453476544115e+18,1.0,3.7758841703455547e-10,1e108b8691124ba753310f631678defd5103d024ea84374ab6c00c4de618ebd8,515f9d187911660653979fa81eba79cb3095c1a147a1858dc8f19b422b253a31
simple,caso05e.txt,Flat-GM,14400,9237,5163,0.0,0.0,2.3419647506644484e-05,23.527072820996363,35590,4993889460109.079,4993889460109.079,4993889460109.079,1.0,1.4964080093902251e-12,c459522c2d46a541d6cfaa8b04d936028e425d0d50ea4baff3450ced868ad658,704aba26c3c744cddeb93632237176d30729d0421bb9c7cb57223701edca3797
simple,caso05e.txt,Flat-L2,14400,9237,5163,1.1294762613546918e-16,0.0,0.00013888888620970514,1.0,35590,1.369311102221259e+19,1.369311102221259e+19,1.369311102221259e+19,1.0,1.4548009207720024e-13,15e04181340cbe259301416381a5df328a78a61d0621e21069b672572b054c96,a6b00c84fdf8c4ca0d743139fa1784ceed9e15f2cc2549b6e15deb1101e770d3
simple,caso05e.txt,Role-Hybrid,14400,9237,5163,0.0,0.0,2.3419647506644484e-05,23.527072820996363,35590,4993889460109.079,4993889460109.079,4993889460109.079,1.0,1.4964080093902251e-12,c459522c2d46a541d6cfaa8b04d936028e425d0d50ea4baff3450ced868ad658,704aba26c3c744cddeb93632237176d30729d0421bb9c7cb57223701edca3797
simple,caso05e.txt,SA-Mat,14400,9237,5163,0.0,0.0,2.3419647506644484e-05,23.527072820996363,35590,4993889460109.079,4993889460109.079,4993889460109.079,1.0,1.4964080093902251e-12,c459522c2d46a541d6cfaa8b04d936028e425d0d50ea4baff3450ced868ad658,704aba26c3c744cddeb93632237176d30729d0421bb9c7cb57223701edca3797
