class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso47a.txt,Base,14400,7565,6835,0.0,0.0,1.0,1.0,35590,9.111833824491109e+18,9.111833824491109e+18,9.111833824491109e+18,1.0,4.466283850296168e-09,843b93f727c9e8faf57d8ffeb76f6eba49d4003aa5eccde34893e04008d0e6e9,fd6a3b9b9ea8d555fd09775bab378df38bda615bc506c383eb59494ac4b26eba
simple,caso47a.txt,Flat-GM,14400,7565,6835,1.3293725483358762e-16,0.0,2.370134556231904e-05,19.87483771310319,35590,668975582255.3329,668975582255.3329,668975582255.3329,1.0,7.630824832779537e-13,1fbb3a6b0143868211f3575f06951995c04450bce899604762966afcaa51cade,b30e90823ad468c760f6c9ae42e208858ce17af92dde9911235f0dbf12edb47f
simple,caso47a.txt,Flat-L2,14400,7565,6835,0.0,0.0,7.070122526018352e-08,1.0,35590,1.7882955440127754e+19,1.7882955440127754e+19,1.7882955440127754e+19,1.0,8.201713784721255e-13,b8d01eea49a297d3f1875800e32a1525629d71976161b59704534bd9610233bb,21719615a27f799bc1bdcdb57c1292762f6b1b31ada2a3d340e7d8b8daade477
simple,caso47a.txt,Role-Hybrid,14400,7565,6835,1.3293725483358762e-16,0.0,2.370134556231904e-05,19.87483771310319,35590,668975582255.3329,668975582255.3329,668975582255.3329,1.0,7.630824832779537e-13,1fbb3a6b0143868211f3575f06951995c04450bce899604762966afcaa51cade,b30e90823ad468c760f6c9ae42e208858ce17af92dde9911235f0dbf12edb47f
simple,caso47a.txt,SA-Mat,14400,7565,6835,1.3293725483358762e-16,0.0,2.370134556231904e-05,19.87483771310319,35590,668975582255.3329,668975582255.3329,668975582255.3329,1.0,7.630824832779537e-13,1fbb3a6b0143868211f3575f06951995c04450bce899604762966afcaa51cade,b30e90823ad468c760f6c9ae42e208858ce17af92dde9911235f0dbf12edb47f
