class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
full,instance002.txt,Base,23763,14207,9556,0.0,0.0,1.0,1.0,57555,5.959418689334871e+20,5.959418689334871e+20,5.959418689334871e+20,1.0,2.1953021424514642e-10,c6df25f588ded36846646c33f7403a2d576be3294b01419b7e8c8fd9e7f65815,ea1b950822c4e248ef0b839802709f30d0fe0529d598a025831e36659c7a51e9
full,instance002.txt,Flat-GM,23763,14207,9556,1.4508738732574746e-16,1.8026496827208789e-16,8.42324318768967e-06,39.9845622100349,57555,874019790837749.6,874019790837749.6,874019790837749.6,1.0,2.2751683288002438e-11,d707c20263a018a7a09a129511751868a772f3be595182f8a1af75ca1958b7b6,b0f1fe97f92441c286d238bb793a9b2f650c2db2e8527fefa7d39d00f8f0b7a1
full,instance002.txt,Flat-L2,23763,14207,9556,0.0,0.0,7.070018475988256e-08,1.0,57555,1.9686562042584632e+21,1.9686562042584632e+21,1.9686562042584632e+21,1.0,3.0362623189570603e-12,8bdd7cf709f28207e3f69abeca5480e23a655f9f16949237219be9d7504f6da1,2153706f59b5d8ceece0b7d3707bfc6da137afcec72a05deea54cfe77f0ba985
full,instance002.txt,Role-Hybrid,23763,14207,9556,1.4508738732574746e-16,1.8026496827208789e-16,8.42324318768967e-06,39.9845622100349,57555,874019790837749.6,874019790837749.6,874019790837749.6,1.0,2.0547340019074034e-11,ab1d9f41a27ed5dcfe8dc39c6dc2259d5d07f887c6e462169994a3a5b12c659f,08b118260722c9d59d4b2878c82b92206fb3e5dc4efcf8449dd5e901fc71a1fa
full,instance002.txt,SA-Mat,23763,14207,9556,1.4508738732574746e-16,1.8026496827208789e-16,8.42324318768967e-06,39.9845622100349,57555,874019790837749.6,874019790837749.6,874019790837749.6,1.0,2.0547340019074034e-11,ab1d9f41a27ed5dcfe8dc39c6dc2259d5d07f887c6e462169994a3a5b12c659f,08b118260722c9d59d4b2878c82b92206fb3e5dc4efcf8449dd5e901fc71a1fa
