class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso35b.txt,Base,14400,9256,5144,0.0,0.0,1.0,1.0,35590,8.559015791485982e+18,8.559015791485982e+18,8.559015791485982e+18,1.0,7.917713412514597e-11,0b31d2799ba7d8af625fa3a813d18adda5bef21b7471c8ed5f030f999a76f23b,62319ddd086e174af7571674ed862c388d829b3a06f947e962d402c5e3fe29f3
simple,caso35b.txt,Flat-GM,14400,9256,5144,0.0,0.0,2.433183747673731e-05,22.133573208725373,35590,34779702846843.906,34779702846843.906,34779702846843.906,1.0,3.8736838876211524e-12,8c8ba786485a591b67f3c00b6a489f28156a7bbf8109c7e608f6ee47d128d465,30bbb05708f42724bfe796662fad5b762a7237265e5d3db14310d72f4158d993
simple,caso35b.txt,Flat-L2,14400,9256,5144,0.0,0.0,0.00013888888620970514,1.0,35590,2.7615300657774928e+19,2.7615300657774928e+19,2.7615300657774928e+19,1.0,2.9984901847098016e-12,a310959b73e16fb5e41571c63bf48bb9d82fdf658317a1263574154a0fb7d8dd,1cc8120dc2b4787ee1ad46772fe1c05bcb5edfb7407200b13ba7e835830c9cf0
simple,caso35b.txt,Role-Hybrid,14400,9256,5144,0.0,0.0,2.433183747673731e-05,22.133573208725373,35590,34779702846843.906,34779702846843.906,34779702846843.906,1.0,3.8736838876211524e-12,8c8ba786485a591b67f3c00b6a489f28156a7bbf8109c7e608f6ee47d128d465,30bbb05708f42724bfe796662fad5b762a7237265e5d3db14310d72f4158d993
simple,caso35b.txt,SA-Mat,14400,9256,5144,0.0,0.0,2.433183747673731e-05,22.133573208725373,35590,34779702846843.906,34779702846843.906,34779702846843.906,1.0,3.8736838876211524e-12,8c8ba786485a591b67f3c00b6a489f28156a7bbf8109c7e608f6ee47d128d465,30bbb05708f42724bfe796662fad5b762a7237265e5d3db14310d72f4158d993
