class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso45a.txt,Base,14400,9320,5080,0.0,0.0,1.0,1.0,35590,8.723138270369329e+18,8.723138270369329e+18,8.723138270369329e+18,1.0,1.9389129905323947e-13,cb4d088f20df7a266a0c85a596dbbed742610c20c6c759d382bd9aaa7223f4ab,abe6deebd84a2d1fa92c343edf36cbc909d1f608f08a6dea2d11d30301c593b4
simple,caso45a.txt,Flat-GM,14400,9320,5080,1.3990964608269027e-16,2.06845986834809e-16,2.421657036438164e-05,19.53352856406156,35590,903937412783.9631,903937412783.9631,903937412783.9631,1.0,8.695564348374813e-13,9db685a9e322de26792a4d9be8c3f63076db90257bc51cfe1792ebed7d73e895,733b742b11549c947aa03015db22976f7a13971fb9b0a87e3fffde38c101eca4
simple,caso45a.txt,Flat-L2,14400,9320,5080,0.0,0.0,0.00013888888620970514,1.0,35590,1.6172547361999845e+19,1.6172547361999845e+19,1.6172547361999845e+19,1.0,1.0113477394820105e-13,0f696105c72ef66ccf3e661c08344ef00d1093f4f62dbb00c0fc81fa739c6e09,6cbc0340b1ea29fd52a5eec786619cd2a0fd314e74f6d57d14d53ab8b0d6fc49
simple,caso45a.txt,Role-Hybrid,14400,9320,5080,1.3990964608269027e-16,2.06845986834809e-16,2.421657036438164e-05,19.53352856406156,35590,903937412783.9631,903937412783.9631,903937412783.9631,1.0,8.695564348374813e-13,9db685a9e322de26792a4d9be8c3f63076db90257bc51cfe1792ebed7d73e895,733b742b11549c947aa03015db22976f7a13971fb9b0a87e3fffde38c101eca4
simple,caso45a.txt,SA-Mat,14400,9320,5080,1.3990964608269027e-16,2.06845986834809e-16,2.421657036438164e-05,19.53352856406156,35590,903937412783.9631,903937412783.9631,903937412783.9631,1.0,8.695564348374813e-13,9db685a9e322de26792a4d9be8c3f63076db90257bc51cfe1792ebed7d73e895,733b742b11549c947aa03015db22976f7a13971fb9b0a87e3fffde38c101eca4
