model_id,method,assignments,original_feasible,exported_feasible,excluded_original_feasible,added_original_infeasible,same_binary_set
cardinality_s106_e3,GCD-midgap-GM,4096,1586,1586,0,0,True
cardinality_s106_e6,GCD-floor,4096,1586,1586,0,0,True
cardinality_s106_e6,GCD-floor-GM,4096,1586,1586,0,0,True
cardinality_s106_e6,GCD-midgap-GM,4096,1586,1586,0,0,True
cardinality_s106_e9,GCD-floor,4096,1586,1586,0,0,True
cardinality_s106_e9,GCD-floor-GM,4096,1586,1586,0,0,True
cardinality_s106_e9,GCD-midgap-GM,4096,1586,1586,0,0,True
cardinality_s107_e0,GCD-floor,4096,1586,1586,0,0,True
cardinality_s107_e0,GCD-floor-GM,4096,1586,1586,0,0,True
cardinality_s107_e0,GCD-midgap-GM,4096,1586,1586,0,0,True
cardinality_s107_e3,GCD-floor,4096,1586,1586,0,0,True
cardinality_s107_e3,GCD-floor-GM,4096,1586,1586,0,0,True
cardinality_s107_e3,GCD-midgap-GM,4096,1586,1586,0,0,True
cardinality_s107_e6,GCD-floor,4096,1586,1586,0,0,True
cardinality_s107_e6,GCD-floor-GM,4096,1586,1586,0,0,True
cardinality_s107_e6,GCD-midgap-GM,4096,1586,1586,0,0,True
cardinality_s107_e9,GCD-floor,4096,1586,1586,0,0,True
cardinality_s107_e9,GCD-floor-GM,4096,1586,1586,0,0,True
cardinality_s107_e9,GCD-midgap-GM,4096,1586,1586,0,0,True
packing_s100_e0,GCD-floor,4096,1759,1759,0,0,True
packing_s100_e0,GCD-floor-GM,4096,1759,1644,115,0,False
packing_s100_e0,GCD-midgap-GM,4096,1759,1759,0,0,True
packing_s100_e3,GCD-floor,4096,1759,1759,0,0,True
packing_s100_e3,GCD-floor-GM,4096,1759,1644,115,0,False
packing_s100_e3,GCD-midgap-GM,4096,1759,1759,0,0,True
packing_s100_e6,GCD-floor,4096,1759,1759,0,0,True
packing_s100_e6,GCD-floor-GM,4096,1759,1644,115,0,False
packing_s100_e6,GCD-midgap-GM,4096,1759,1759,0,0,True
packing_s100_e9,GCD-floor,4096,1759,1759,0,0,True
packing_s100_e9,GCD-floor-GM,4096,1759,1644,115,0,False
packing_s100_e9,GCD-midgap-GM,4096,1759,1759,0,0,True
packing_s101_e0,GCD-floor,4096,1816,1816,0,0,True
packing_s101_e0,GCD-floor-GM,4096,1816,1814,2,0,False
packing_s101_e0,GCD-midgap-GM,4096,1816,1816,0,0,True
packing_s101_e3,GCD-floor,4096,1816,1816,0,0,True
packing_s101_e3,GCD-floor-GM,4096,1816,1814,2,0,False
packing_s101_e3,GCD-midgap-GM,4096,1816,1816,0,0,True
packing_s101_e6,GCD-floor,4096,1816,1816,0,0,True
packing_s101_e6,GCD-floor-GM,4096,1816,1814,2,0,False
packing_s101_e6,GCD-midgap-GM,4096,1816,1816,0,0,True
packing_s101_e9,GCD-floor,4096,1816,1816,0,0,True
packing_s101_e9,GCD-floor-GM,4096,1816,1814,2,0,False
packing_s101_e9,GCD-midgap-GM,4096,1816,1816,0,0,True
packing_s102_e0,GCD-floor,4096,1697,1697,0,0,True
packing_s102_e0,GCD-floor-GM,4096,1697,1635,62,0,False
packing_s102_e0,GCD-midgap-GM,4096,1697,1697,0,0,True
packing_s102_e3,GCD-floor,4096,1697,1697,0,0,True
packing_s102_e3,GCD-floor-GM,4096,1697,1635,62,0,False
packing_s102_e3,GCD-midgap-GM,4096,1697,1697,0,0,True
packing_s102_e6,GCD-floor,4096,1697,1697,0,0,True
packing_s102_e6,GCD-floor-GM,4096,1697,1635,62,0,False
packing_s102_e6,GCD-midgap-GM,4096,1697,1697,0,0,True
packing_s102_e9,GCD-floor,4096,1697,1697,0,0,True
packing_s102_e9,GCD-floor-GM,4096,1697,1635,62,0,False
packing_s102_e9,GCD-midgap-GM,4096,1697,1697,0,0,True
packing_s103_e0,GCD-floor,4096,1792,1792,0,0,True
packing_s103_e0,GCD-floor-GM,4096,1792,1714,78,0,False
packing_s103_e0,GCD-midgap-GM,4096,1792,1792,0,0,True
packing_s103_e3,GCD-floor,4096,1792,1792,0,0,True
packing_s103_e3,GCD-floor-GM,4096,1792,1714,78,0,False
packing_s103_e3,GCD-midgap-GM,4096,1792,1792,0,0,True
packing_s103_e6,GCD-floor,4096,1792,1792,0,0,True
packing_s103_e6,GCD-floor-GM,4096,1792,1714,78,0,False
packing_s103_e6,GCD-midgap-GM,4096,1792,1792,0,0,True
packing_s103_e9,GCD-floor,4096,1792,1792,0,0,True
packing_s103_e9,GCD-floor-GM,4096,1792,1714,78,0,False
packing_s103_e9,GCD-midgap-GM,4096,1792,1792,0,0,True
packing_s104_e0,GCD-floor,4096,1694,1694,0,0,True
packing_s104_e0,GCD-floor-GM,4096,1694,1667,27,0,False
packing_s104_e0,GCD-midgap-GM,4096,1694,1694,0,0,True
packing_s104_e3,GCD-floor,4096,1694,1694,0,0,True
packing_s104_e3,GCD-floor-GM,4096,1694,1667,27,0,False
packing_s104_e3,GCD-midgap-GM,4096,1694,1694,0,0,True
packing_s104_e6,GCD-floor,4096,1694,1694,0,0,True
packing_s104_e6,GCD-floor-GM,4096,1694,1667,27,0,False
packing_s104_e6,GCD-midgap-GM,4096,1694,1694,0,0,True
packing_s104_e9,GCD-floor,4096,1694,1694,0,0,True
packing_s104_e9,GCD-floor-GM,4096,1694,1667,27,0,False
packing_s104_e9,GCD-midgap-GM,4096,1694,1694,0,0,True
packing_s105_e0,GCD-floor,4096,1567,1567,0,0,True
