class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
simple,caso25f.txt,Base,14400,9108,5292,0.0,0.0,1.0,1.0,35590,8.607747013965967e+18,8.607747013965967e+18,8.607747013965967e+18,1.0,8.415597432325842e-10,cd159e5cf3d5e296815d87191836b3d2fad1ff6a0904b19aa56965540c9101e3,73ce2a97b635f0e1c73ce9da0cbce36e4387f98c91484ad679500ea4b8e176b8
simple,caso25f.txt,Flat-GM,14400,9108,5292,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,2066622914629.7244,2066622914629.7244,2066622914629.7244,1.0,2.6510508736211005e-13,66dd8a907253fa6a66760a32555861b855cc927c94774edfe7bb973aeda03d2d,51645dd4b8abba77a83df61806f857e3644be0d598d2bf20b22e7089b95165c1
simple,caso25f.txt,Flat-L2,14400,9108,5292,1.7671712174576017e-16,0.0,7.070396063946573e-08,1.0,35590,1.3701127836344717e+19,1.3701127836344717e+19,1.3701127836344717e+19,1.0,5.119028426963464e-13,0e05ca92e7420944cbb6dd19cd94f4ffa08a4e2939e9781bee092429dcd3b01e,48b11c7e9d9831abac7a69f57faa534544031574ccf352ab9e9e32971499fc18
simple,caso25f.txt,Role-Hybrid,14400,9108,5292,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,2066622914629.7244,2066622914629.7244,2066622914629.7244,1.0,2.6510508736211005e-13,66dd8a907253fa6a66760a32555861b855cc927c94774edfe7bb973aeda03d2d,51645dd4b8abba77a83df61806f857e3644be0d598d2bf20b22e7089b95165c1
simple,caso25f.txt,SA-Mat,14400,9108,5292,1.2402135967791906e-16,0.0,2.4297317807242557e-05,20.92859070706935,35590,2066622914629.7244,2066622914629.7244,2066622914629.7244,1.0,2.6510508736211005e-13,66dd8a907253fa6a66760a32555861b855cc927c94774edfe7bb973aeda03d2d,51645dd4b8abba77a83df61806f857e3644be0d598d2bf20b22e7089b95165c1
