family,solver,gap,seeds,ratios,min,max,all_below_one,all_above_one
Simple,cplex,0.001,"[1, 2]","[0.9517, 0.8926]",0.8926,0.9517,True,False
Simple,cplex,0.01,"[1, 2, 3]","[1.0618, 0.9428, 1.0012]",0.9428,1.0618,False,False
