stage,family,solver,gap,seed,policy,n,completed,censored,failed,censored_without_incumbent,completion_rate,par10_mean_s,median_time_completed_s,median_final_gap_censored_pct,verified_rate,median_nonsolver_overhead_s,infrastructure_failures,optimality_claims_contradicted,invalid_dual_bounds
smoke,Simple,cplex,0.01,1,Flat-GM,1,1,0,0,0,1.0,1.3,1.3,,1.0,3.77,0,0,0
smoke,Simple,cplex,0.01,1,Flat-L2,1,1,0,0,0,1.0,1.49,1.49,,1.0,3.49,0,0,0
smoke,Simple,cplex,0.01,1,Role-Hybrid,1,1,0,0,0,1.0,1.39,1.39,,1.0,3.45,0,0,0
smoke,Simple,gurobi,0.01,1,Base,1,1,0,0,0,1.0,1.37,1.37,,1.0,1.88,0,0,0
smoke,Simple,gurobi,0.01,1,Flat-GM,1,1,0,0,0,1.0,1.52,1.52,,1.0,0.29,0,0,0
smoke,Simple,gurobi,0.01,1,Flat-L2,1,1,0,0,0,1.0,4.08,4.08,,1.0,0.44,0,0,0
smoke,Simple,gurobi,0.01,1,Role-Hybrid,1,1,0,0,0,1.0,1.53,1.53,,1.0,0.32,0,0,0
smoke,Simple,highs,0.01,1,Base,1,0,1,0,1,0.0,3000.0,,,0.0,0.5,0,0,0
smoke,Simple,highs,0.01,1,Flat-GM,1,0,1,0,0,0.0,3000.0,,1.1252,1.0,0.85,0,0,0
smoke,Simple,highs,0.01,1,Flat-L2,1,0,1,0,0,0.0,3000.0,,3.223,1.0,0.85,0,0,0
smoke,Simple,highs,0.01,1,Role-Hybrid,1,0,1,0,0,0.0,3000.0,,2.1381,1.0,1.22,0,0,0
