run_id,highs_model_status,highs_run_status,solver_self_check_rejected,solver_self_check_infeasibilities,model_warnings
pilot-cplex-simple-v1_simple_000046-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000095-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000095-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000147-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000147-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000204-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000204-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000265-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000265-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000272-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000272-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000305-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000305-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000361-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000361-Base-g0.01-s1,,,False,,
pilot-cplex-simple-v1_simple_000431-Base-g0.001-s1,,,False,,
pilot-cplex-simple-v1_simple_000431-Base-g0.01-s1,,,False,,
pilot-highs-completo-v1_completo_000006-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000027-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000050-Base-g0.001-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000050-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000086-Base-g0.001-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000086-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000115-Base-g0.001-s1,Solve error,-1,True,2/4.39584e-06/5.70401e-05,
pilot-highs-completo-v1_completo_000115-Base-g0.01-s1,Solve error,-1,True,2/3.03611e-06/5.45462e-05,
pilot-highs-completo-v1_completo_000130-Base-g0.001-s1,Time limit reached,1,False,,
