class,instance,variant,rows,basic_structural,basic_slack,max_coefficient_rel_error,max_rhs_rel_error,min_factor,max_factor,nnz,kappa1_seed0,kappa1_seed1,kappa1_seed2,estimator_max_min,lu_componentwise_backward_error,basis_sha256,lp_sha256
sgtm,instance031.txt,Base,10080,2334,7746,0.0,0.0,1.0,1.0,22679,448403469971.27374,448403469971.27374,448403469971.27374,1.0,9.364357628353455e-14,64a67deb7bfb4b04a1a5c6b54f89f7dc8148d896e9b85507d3c50b92e4b3fb2d,75fbdd652a9e599c207e9e19a56af5a236d0baf45503b8a731b5f80d1948d322
sgtm,instance031.txt,Flat-GM,10080,2334,7746,1.1659334993059323e-16,0.0,1.0672955386025884e-05,54.92300681127188,22679,4028842338.725805,4028842338.725805,4028842338.725805,1.0,1.244602723479478e-13,33904e8132f85ff89ad7dc1730adcca82cee1f71852e0e99032416e9f6c429b4,40a899b929a7864eb9766fba1d7916e08a97640915c0ba95c60c9eb854538c14
sgtm,instance031.txt,Flat-L2,10080,2334,7746,0.0,0.0,0.00019641854275172078,1.0,22679,3213149223.7176495,3213149223.7176495,3213149223.7176495,1.0,2.7574514515152425e-14,75bd94c5864b70212803cacc71bbdf4cff428aa1b94cffa186af0595954295f8,b45e74b0b03ed39e207486cacd40fdb3ed6df8eb616100084188151a441fe9b2
sgtm,instance031.txt,Role-Hybrid,10080,2334,7746,1.1659334993059323e-16,0.0,1.0672955386025884e-05,54.92300681127188,22679,188019544542.51227,188019544542.51227,188019544542.51227,1.0,3.244319047172455e-13,f97bce0833b8b89680b05b7ef5daf0c7fd0ab47c1c22965ea71d94a6e599fbf2,df51a94bd835bf4537d58db17d674b0f1aa48949bd265b6e1483d659e22a2de7
sgtm,instance031.txt,SA-Mat,10080,2334,7746,1.1659334993059323e-16,0.0,1.0672955386025884e-05,54.92300681127188,22679,188019544542.51227,188019544542.51227,188019544542.51227,1.0,3.244319047172455e-13,f97bce0833b8b89680b05b7ef5daf0c7fd0ab47c1c22965ea71d94a6e599fbf2,df51a94bd835bf4537d58db17d674b0f1aa48949bd265b6e1483d659e22a2de7
